samples,frequencies,BPM
-1.1025137E-5,16,
-2.9106362E-4,16,
0.0010297478,16,
0.04292505,16,
-0.009906968,23,
-0.010811029,23,
-0.0069354726,23,
-0.0047398168,23,
-0.00316664,0,
-0.0021270798,0,
-0.0014247785,0,
-9.524616E-4,0,
-6.328429E-4,0,
-4.1862446E-4,0,
-2.725414E-4,0,
-1.6967686E-4,0,
-1.09700115E-4,0,
-6.0858758E-5,0,
-3.208315E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
1.7640219E-6,24,
0.022775618,24,
-0.0060922704,24,
-0.00535965,5,
0.0014200377,5,
-0.0063692215,5,
-0.004584252,5,
-0.0012994227,4,
-0.0019000721,4,
0.0067641423,4,
-0.005715872,4,
0.0040010223,4,
-0.004463527,4,
0.0014559797,4,
0.0032192299,4,
-0.0033270556,4,
0.0017553121,4,
0.0032418312,4,
-0.0034357635,4,
0.0012167342,4,
0.0026256363,4,
-0.0021995148,4,
-0.0017924667,4,
0.0033757868,4,
-3.5423765E-4,4,
-0.005544211,4,
0.0034665237,4,
0.0016415326,4,
-0.007500511,4,
0.0027427233,4,
0.0023396444,4,
-0.0064261113,4,
0.0019372269,4,
8.8653126E-4,4,
-0.0028826324,4,
0.0016432967,4,
1.5291866E-4,4,
6.0494925E-4,4,
-0.001593022,4,
0.0019813273,4,
0.0019493545,6,
-0.004150854,6,
0.0030953072,6,
0.0030721545,6,
-0.0063489354,4,
0.0040400513,4,
0.0021577296,4,
-0.0059927134,4,
0.0034045624,4,
0.0019569618,4,
-0.0034773282,4,
0.0026980715,6,
4.4100547E-5,6,
7.133264E-5,6,
-6.107926E-5,6,
3.9150263E-4,6,
0.0017867337,6,
-0.0024021568,6,
0.0013211422,6,
0.0028012667,4,
-0.0049766367,4,
0.0025157158,4,
0.0024989576,4,
-0.0061459625,4,
0.0031599146,4,
0.0013663452,4,
-0.005212354,6,
0.0028072204,6,
4.7893196E-4,6,
-0.0025141723,6,
0.0011203744,6,
-2.577677E-4,6,
1.8268652E-4,6,
-0.0010759431,6,
2.090366E-4,6,
0.0021801107,6,
-0.0032116224,6,
0.0011036162,6,
0.0028187968,6,
-0.0046694763,6,
0.002200066,6,
0.027775187,24,
-0.014255282,24,
-0.002173275,24,
-0.0024695206,24,
-0.0060485005,6,
0.001185533,6,
-7.381329E-4,6,
-0.00215784,6,
4.1818345E-4,6,
-1.4189351E-4,6,
5.736379E-4,6,
-0.0011743977,6,
1.8588381E-4,6,
0.0021677625,6,
-0.0030223208,6,
0.0015574108,6,
0.0019067974,6,
-0.003738183,6,
0.0022282905,6,
0.0013121016,6,
-0.004108628,6,
0.0027862727,6,
1.927194E-4,6,
-0.002507888,6,
0.0015915888,6,
2.1388766E-4,6,
-7.198312E-4,6,
1.0848735E-4,6,
1.9260915E-4,6,
8.220342E-4,6,
-0.0017621476,6,
6.668003E-4,6,
0.0014208094,6,
-0.0026259671,6,
0.001246943,6,
0.0011734053,6,
-0.0028582667,6,
0.0019144048,6,
4.5291265E-4,6,
-0.0026572784,6,
0.0019457162,6,
1.8731708E-4,6,
-0.001689492,6,
0.0010838812,6,
6.4034E-4,6,
-4.6867857E-4,6,
-1.8125326E-4,6,
7.6999556E-4,6,
3.590887E-4,6,
-0.0012587399,6,
8.526841E-4,6,
5.0969206E-4,6,
-0.00161408,6,
0.0010940244,6,
3.3207712E-4,6,
-0.0017036042,6,
0.0014731789,6,
2.053983E-4,6,
-0.0015942348,6,
0.0012941306,6,
6.158642E-4,6,
-0.0013159603,6,
6.279918E-4,6,
8.153089E-4,6,
-8.544481E-4,6,
-2.2336928E-4,6,
7.7616965E-4,6,
-4.7672694E-4,6,
-5.534619E-4,6,
5.5169786E-4,6,
-1.6350279E-4,6,
-8.257828E-4,6,
8.180652E-4,6,
-1.00218494E-4,6,
-7.279898E-4,6,
9.7340933E-4,6,
4.2204224E-4,6,
-0.001261386,24,
7.8366674E-4,24,
7.629395E-4,24,
0.021305857,24,
-0.0069726272,0,
-0.00403068,0,
-0.0045571304,0,
-0.0020560778,0,
-9.04833E-4,6,
-0.0019543157,6,
-6.955759E-4,6,
-2.6129575E-5,6,
-7.674598E-4,6,
-1.6173876E-4,6,
4.8775206E-4,6,
-1.14661425E-5,6,
-3.2413902E-4,6,
4.1553742E-4,6,
4.2821633E-4,6,
-0.0011171772,6,
3.1344465E-4,6,
6.014212E-4,6,
-0.0013220242,6,
3.4729182E-4,6,
7.8102073E-4,6,
-0.0013933568,6,
5.277733E-4,6,
5.0186424E-4,6,
-9.068175E-4,6,
6.475063E-4,6,
3.754059E-4,8,
-4.2711382E-4,8,
4.3119313E-4,8,
1.5743896E-4,8,
