samples,frequencies,BPM
-1.1025137E-5,16,
-2.9106362E-4,16,
0.0010341578,16,
0.04296408,16,
-0.01003938,23,
-0.010663844,23,
-0.0069954493,23,
-0.0047289017,23,
-0.0031631119,0,
-0.002125426,0,
-0.0014221325,0,
-9.5058733E-4,0,
-6.311891E-4,0,
-4.1818345E-4,0,
-2.7287213E-4,0,
-1.6769234E-4,0,
-1.08266846E-4,0,
-6.0858758E-5,0,
-3.4508677E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,4,
-7.2765906E-6,4,
2.0176E-4,4,
-0.0029097542,4,
0.004352724,22,
0.01803029,22,
0.0065290863,22,
-0.016141241,4,
0.003532013,4,
-0.0050783986,4,
-0.0084664235,4,
0.0041446798,5,
-0.0012262157,5,
-0.008224753,5,
0.0036515254,5,
-0.0055858856,5,
0.007248807,5,
0.0011355891,5,
-6.907248E-4,20,
0.004537726,20,
-0.0021818746,20,
-0.0026229904,20,
0.003071052,5,
-0.0050973617,5,
0.001412761,5,
-0.003172042,5,
-0.002300395,5,
0.0036527382,5,
-5.6779456E-5,5,
0.002727178,5,
0.003499599,7,
-0.002434681,7,
0.001303943,7,
-0.0019430702,7,
-6.8223546E-4,7,
0.0017265364,7,
-0.005024265,7,
-8.595197E-4,7,
0.0011279818,7,
-5.7242514E-4,7,
0.003601802,7,
0.0022029327,7,
-6.950246E-4,7,
0.0021209056,7,
-0.0034052238,7,
2.2336928E-4,7,
9.0450223E-4,7,
-0.002557942,7,
-0.001466674,7,
-6.899531E-4,7,
-6.9403235E-4,7,
0.0038664052,7,
3.3207712E-4,7,
0.0016135288,7,
0.0010088,7,
-0.0012038347,7,
-0.0010648078,7,
5.540131E-4,7,
-0.0014394419,7,
-5.049513E-4,7,
-0.0022822034,7,
-1.5887222E-4,7,
0.0012401075,7,
0.0012353666,7,
0.0018382211,7,
9.166299E-4,7,
-4.983362E-5,7,
1.697871E-5,7,
-0.0015177204,7,
-5.209377E-4,7,
-4.738604E-4,7,
-0.0016077957,7,
-3.1553942E-4,7,
2.0870584E-4,7,
6.6415424E-4,3,
0.001905695,3,
5.661408E-4,3,
9.091328E-4,3,
5.6812534E-4,7,
-0.0015087901,7,
-6.708796E-4,7,
-9.26332E-4,7,
-9.450748E-4,7,
3.324079E-4,7,
-6.361504E-4,7,
0.025432896,24,
-0.00851317,24,
-0.0046282425,24,
-0.0017178266,24,
-0.0014354729,3,
-0.0022599327,3,
-0.0019637975,3,
-0.0022195806,3,
-7.170749E-4,3,
-3.6724732E-4,3,
-4.9546966E-4,3,
4.3108284E-5,7,
-6.910556E-4,7,
-1.2028425E-4,7,
0.0023659945,7,
9.364751E-4,3,
7.9689693E-4,3,
-8.269955E-4,3,
-0.0021088882,3,
-4.8642905E-4,3,
2.2623582E-4,3,
-2.6835184E-4,3,
3.2347752E-4,3,
-9.204887E-4,3,
-7.2655654E-5,3,
0.0010364731,3,
0.0015032775,3,
0.0013470512,3,
-2.2502305E-4,3,
-0.0016749388,7,
-9.243475E-4,7,
-4.4111573E-4,7,
4.391312E-4,7,
6.2843283E-6,8,
-6.481678E-4,8,
-4.751834E-5,8,
9.139839E-5,8,
0.0011156336,3,
0.0014692098,3,
2.5247564E-4,3,
-5.2071724E-4,3,
-7.876358E-4,3,
-0.0010569799,3,
8.180652E-5,3,
-4.82019E-4,7,
-4.189552E-6,7,
1.2127651E-5,7,
4.128914E-4,7,
3.382512E-4,7,
8.8498776E-4,7,
2.1157238E-4,7,
6.1112334E-4,7,
-6.069338E-4,7,
-1.8974261E-4,7,
-9.794732E-4,7,
-7.179569E-4,7,
-5.0054124E-4,7,
6.8091246E-4,7,
4.2568054E-4,7,
9.6050993E-4,7,
-5.932626E-4,7,
2.4586054E-4,7,
2.8709456E-4,7,
7.2931283E-4,7,
-1.1333841E-4,7,
-3.942589E-4,7,
-0.0014676662,7,
-6.6305173E-4,7,
-1.5501343E-4,7,
0.0012364691,7,
7.567654E-4,7,
1.1829972E-4,7,
-5.2424526E-4,7,
-6.6150824E-5,7,
6.4541155E-4,7,
8.128834E-4,7,
-4.1454515E-4,7,
-8.406667E-4,24,
-0.0011177284,24,
-5.9502665E-4,24,
0.023261165,24,
-0.006510123,0,
-0.0045067454,0,
-0.0033674077,0,
-0.0023814295,0,
-0.0014547668,7,
-6.2082545E-4,7,
-7.110111E-4,7,
-7.2832056E-4,7,
-0.0010383474,7,
-5.574309E-4,7,
-5.569899E-4,7,
7.2765906E-5,7,
5.2424526E-4,7,
5.281041E-4,7,
1.813635E-4,7,
3.2270578E-4,7,
-4.4056447E-4,7,
-2.0462654E-4,7,
-2.00878E-4,7,
1.9183739E-5,7,
-8.809085E-5,7,
-2.3990698E-4,7,
