samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.7330564E-4,16,
8.6323963E-4,16,
0.0015992131,16,
0.067019954,16,
-0.01243953,23,
-0.012534404,23,
-0.010059784,23,
-0.007472367,23,
-0.005664003,23,
-0.0043170205,0,
-0.0033118806,0,
-0.0025367737,0,
-0.0019413849,0,
-0.0014857588,0,
-0.0011343791,0,
-8.6488394E-4,0,
-6.5852853E-4,0,
-4.968972E-4,0,
-3.734128E-4,0,
-2.7919636E-4,0,
-2.0471112E-4,0,
-1.54561E-4,0,
-1.21346835E-4,0,
-6.7908186E-5,0,
-6.0837843E-5,0,
-4.110665E-5,0,
-1.3154128E-6,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
2.3019725E-6,5,
-3.2178286E-4,5,
0.007705688,5,
-0.008401542,5,
0.009868556,5,
-0.011571687,5,
0.001256877,4,
0.010620643,4,
-0.014132466,4,
0.002477909,4,
0.009171716,4,
-0.0076141027,4,
0.0077629085,4,
-0.0034355293,4,
-0.01953651,4,
0.019608201,4,
-0.0016506787,4,
0.006009628,4,
-0.024511073,4,
0.025319394,4,
-0.013455029,4,
-0.0037469533,4,
0.0074537867,4,
0.013702984,4,
-0.024973277,4,
0.01182737,4,
-0.001549063,4,
0.0020446447,4,
4.1369733E-4,4,
0.00583402,4,
-0.0072232606,4,
-0.004425213,4,
0.009931367,4,
0.001142436,3,
-0.004525842,3,
-0.0010524946,3,
0.005939582,3,
-0.018032173,3,
0.017905563,3,
-0.0026002422,3,
-0.0030494558,3,
