samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.742922E-4,16,
8.7047444E-4,16,
0.0015857301,16,
0.0670239,16,
-0.012437228,23,
-0.012537364,23,
-0.010060113,23,
-0.007473847,23,
-0.005660879,23,
-0.0043178424,0,
-0.0033104008,0,
-0.0025379246,0,
-0.0019417137,0,
-0.0014847722,0,
-0.0011343791,0,
-8.6373294E-4,0,
-6.5852853E-4,0,
-4.945952E-4,0,
-3.7900332E-4,0,
-2.775521E-4,0,
-2.0964391E-4,0,
-1.5176575E-4,0,
-1.2036027E-4,0,
-6.511293E-5,0,
-6.0837843E-5,0,
-4.6203873E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
3.288532E-7,0,
4.932798E-7,4,
-1.1016582E-5,4,
-2.7179718E-4,4,
-8.8658824E-4,4,
-7.7477813E-4,4,
0.0040879743,4,
-0.006986815,18,
0.0057046167,18,
-0.004813753,18,
0.011606052,18,
-0.0063628163,18,
0.004073011,4,
-0.015943626,4,
0.006914632,4,
0.020761324,4,
-0.023064448,4,
0.0027871954,4,
-0.0013308689,4,
0.0013501068,4,
0.012345972,4,
-0.01938195,4,
0.0055262134,4,
0.009410792,3,
-0.013294549,3,
0.010813187,3,
-0.0051743407,3,
0.002144945,3,
0.005241591,3,
-0.012022051,6,
0.011325046,6,
-0.0037867445,6,
0.0018968253,6,
0.0060229464,6,
-0.017225824,18,
0.01595349,18,
-0.0041377954,18,
-0.0027516792,18,
0.010598281,18,
-0.017295705,18,
0.011135791,18,
-2.8643114E-4,18,
-0.005168915,18,
0.009903085,18,
-0.013794077,18,
0.0046665915,18,
0.0040827123,18,
-0.008912908,18,
0.007330138,18,
-0.0026337854,18,
-0.0031584706,18,
0.002243272,4,
-0.0034248417,4,
0.0048994194,4,
7.509363E-4,4,
-0.003956926,4,
0.0034398045,4,
