samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.742922E-4,16,
8.7047444E-4,16,
0.001583757,16,
0.06703377,16,
-0.012428349,23,
-0.012541475,23,
-0.010074911,23,
-0.0074736825,23,
-0.0056506847,23,
-0.0043132384,0,
-0.003307441,0,
-0.002536609,0,
-0.001939905,0,
-0.0014842789,0,
-0.0011337214,0,
-8.634041E-4,0,
-6.5671984E-4,0,
-4.949241E-4,0,
-3.7686576E-4,0,
-2.780454E-4,0,
-2.0783523E-4,0,
-1.5242345E-4,0,
-1.2167569E-4,0,
-6.708605E-5,0,
-6.0837843E-5,0,
-3.5680572E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,24,
0.0,24,
-1.9731192E-6,24,
0.06354069,24,
-0.032688666,24,
-0.0070756054,24,
-0.005386451,0,
-0.0041816975,0,
-0.0032166776,0,
-0.0024456813,0,
-0.0018619668,0,
