samples,frequencies,BPM
-2.4475805E-5,16,
-2.3615843E-4,16,
0.0011142003,16,
0.04290741,16,
-0.010041474,23,
-0.010727459,23,
-0.0069954493,23,
-0.0047187586,23,
-0.0031564967,0,
-0.0021199135,0,
-0.0014206992,0,
-9.499258E-4,0,
-6.3085835E-4,0,
-4.1741168E-4,0,
-2.7143888E-4,0,
-1.686846E-4,0,
-1.0914886E-4,0,
-6.0858758E-5,0,
-3.395742E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,171,
0.0,171,
0.0,171,
0.0,171,
-3.5280439E-6,3,
0.0022014994,3,
0.004440705,3,
-0.009200036,27,
-2.2381029E-4,27,
0.011639458,27,
-0.0059035197,27,
-0.006221264,19,
0.0013923646,19,
0.007146163,19,
-0.0057068313,19,
7.0682156E-4,23,
0.018080894,23,
-0.0038549392,23,
-0.005225915,4,
-0.0055108047,4,
0.007893998,4,
-0.0029251894,4,
-0.0032828448,4,
-0.0076213465,4,
0.008647567,4,
-0.0028799863,4,
-0.0016974302,19,
-0.0062573166,19,
-4.4464378E-4,19,
0.003613158,19,
0.0049941665,19,
-0.0038011365,19,
-0.0033321271,19,
0.008746351,19,
-0.0017503508,19,
1.7563044E-4,19,
-0.0067436355,19,
0.0039747823,14,
-0.0020618108,14,
0.0026299362,14,
-0.006046075,14,
-9.812372E-6,14,
0.007968749,14,
-6.599647E-4,14,
-0.0013836547,14,
-0.0026102012,14,
0.0046289037,14,
-8.5940945E-4,14,
-2.3439442E-4,14,
-0.004931764,14,
-7.895101E-4,14,
0.0048383814,14,
3.7242915E-4,14,
-0.0061586415,14,
0.002406126,14,
0.0063315155,14,
-7.540091E-4,14,
-6.0120074E-4,14,
-0.0053815898,14,
0.0025977427,14,
0.0023182556,14,
6.0450827E-4,14,
-0.007846369,14,
0.0010825582,14,
0.0053477427,14,
-0.0014187146,14,
1.7331516E-4,14,
-2.7706168E-4,14,
0.0017708575,14,
0.0011637033,14,
-0.0010780379,14,
-0.0052617467,14,
0.0034568214,14,
0.0033282684,14,
-0.0034986068,14,
-0.0049301106,14,
0.0031944232,14,
0.0026378743,14,
0.0031739164,14,
-0.0016816641,14,
-0.005003097,14,
0.003010524,14,
0.0032874753,14,
-0.0022888184,14,
-0.0038693822,14,
0.0022502304,14,
5.413342E-4,14,
-9.6910953E-4,14,
-5.224812E-4,14,
-4.176322E-4,14,
0.004118771,14,
0.0023427315,14,
-0.0052975784,14,
-0.0019845248,14,
0.003275899,14,
0.0023243194,14,
0.023805145,23,
-0.012985958,23,
-0.00485095,23,
-9.77599E-4,23,
