samples,frequencies,BPM
-1.52146895E-5,16,
-2.1278515E-4,16,
0.0010579722,16,
0.042917773,16,
-0.010089764,23,
-0.010669245,23,
-0.006992473,23,
-0.0047274684,23,
-0.00316223,0,
-0.0021227798,0,
-0.001422353,0,
-9.5113856E-4,0,
-6.309686E-4,0,
-4.1741168E-4,0,
-2.7243115E-4,0,
-1.6934611E-4,0,
-1.08928354E-4,0,
-6.0858758E-5,0,
-3.318566E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
1.03636285E-5,24,
0.022672202,24,
-0.006017189,24,
-0.005327236,0,
-0.003625396,0,
-0.002437327,0,
-0.0016350278,0,
-0.0010941346,0,
-7.273283E-4,0,
-4.8135748E-4,0,
-3.133344E-4,0,
-2.051778E-4,4,
-0.0027419515,4,
-0.0021743774,4,
6.143206E-4,8,
0.002846029,8,
0.0015642465,8,
2.8896885E-4,8,
0.0034861483,4,
-0.0028700638,4,
0.0015873993,4,
0.0042351964,4,
-0.013339314,3,
0.0011275407,3,
0.0013164014,3,
0.0081258565,3,
0.0022686424,3,
-0.0055876495,3,
-0.004136852,3,
0.0015075773,3,
-6.956862E-5,3,
0.00570176,3,
-0.0032455798,3,
-0.0042861323,8,
