samples,frequencies,BPM
-1.1025137E-5,16,
-2.9106362E-4,16,
0.0010293068,16,
0.042929016,16,
-0.00991689,23,
-0.0108148875,23,
-0.006928858,23,
-0.0047435653,23,
-0.0031668604,0,
-0.0021276309,0,
-0.0014283066,0,
-9.5257186E-4,0,
-6.3427613E-4,0,
-4.1520665E-4,0,
-2.7540792E-4,0,
-1.6581806E-4,0,
-1.0870785E-4,0,
-6.0858758E-5,0,
-2.3704044E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-1.4773684E-5,24,
0.022893367,24,
-0.00613604,24,
-0.0054777293,0,
-0.0036341057,0,
-0.002441737,0,
-0.0016378943,0,
-0.0010961192,0,
-7.289821E-4,0,
-4.8742132E-4,0,
-0.0022103195,0,
-5.827887E-4,5,
0.006058092,5,
-0.0094000315,5,
0.0010751714,4,
0.0047670486,4,
0.005015886,4,
0.0037317884,4,
-0.019575903,6,
0.005983121,6,
0.004538167,6,
0.0052866633,6,
-0.0013359159,6,
-0.011048621,6,
0.0028401855,6,
0.00919298,6,
-1.4553181E-4,6,
-0.0032463516,6,
-0.004296937,6,
-0.002801818,3,
0.008293218,3,
-0.00286411,3,
-9.05715E-4,3,
9.735196E-5,3,
-0.0032520846,3,
6.354889E-4,3,
0.0021033757,3,
0.0010108948,3,
0.0037257245,3,
-0.0018997414,3,
-0.006713647,3,
0.0036923185,3,
0.0030606883,3,
0.004251072,3,
-0.003132021,3,
-0.007818035,3,
7.2468224E-4,3,
0.0063995407,3,
0.0015137513,3,
-0.0024244275,3,
-0.004455148,3,
-0.0014003026,3,
0.0057453094,3,
-3.5390691E-4,3,
3.754059E-4,3,
-0.0018474822,3,
-0.00210966,3,
4.6713505E-4,3,
0.0021156135,3,
0.0016802308,3,
6.880788E-4,3,
-0.0031460228,3,
-0.0020800023,3,
0.0023157198,3,
0.0022335825,3,
0.0033130536,3,
-0.004173676,3,
-0.0038608927,3,
3.131139E-5,3,
0.0036058812,3,
0.0026496712,3,
-0.0022814316,3,
-0.005169025,3,
4.8433428E-4,3,
0.0035711522,3,
0.0024123,3,
5.4629555E-4,3,
-0.0042288015,3,
8.84216E-5,3,
6.2997633E-4,3,
0.0016933508,3,
0.02715789,24,
-0.010668143,24,
-0.008506444,24,
-0.0030687368,24,
-0.0021375536,3,
0.0012007477,3,
3.1245238E-4,3,
-0.0053573344,3,
-0.0013567534,3,
-0.0010014132,3,
0.0029547368,3,
0.0025900253,3,
-0.0020720642,3,
-0.0040871287,3,
0.001351792,3,
0.0011210359,3,
0.0037341036,3,
-2.0407529E-4,3,
-0.004538277,3,
8.014172E-4,3,
3.1972897E-6,3,
0.002616706,3,
0.0010164074,3,
-0.002953083,3,
-0.0026358897,3,
0.0011911559,3,
-4.4762058E-4,6,
0.0036170168,6,
-1.8191476E-4,6,
-0.003786032,3,
0.0013213627,3,
-6.305276E-4,3,
0.0035042295,3,
0.0017365693,6,
-0.003617568,6,
-0.0020299482,6,
0.001426763,6,
7.2765906E-6,6,
0.0037817322,6,
-0.001592581,6,
-0.0043686004,6,
0.0015714128,6,
-6.3780416E-4,6,
0.0033142664,6,
0.0010663513,6,
-0.003997825,6,
-8.565429E-4,6,
0.0017797878,6,
1.40791E-4,6,
0.0033932065,6,
-0.002006575,6,
-0.0028567233,6,
0.0017352463,6,
-9.6139195E-4,6,
0.0031928797,6,
8.6183497E-4,6,
-0.004142475,6,
-9.089123E-4,6,
9.4739004E-4,6,
4.1222989E-4,6,
0.0035045603,6,
-0.0030025858,6,
-0.0021411919,6,
0.0016327125,6,
-3.0682958E-4,6,
0.0033396243,6,
2.4729382E-4,6,
-0.003606984,6,
-1.0253378E-4,6,
9.664635E-4,6,
5.956882E-4,6,
0.0028624563,6,
-0.003981287,6,
-0.0014494747,6,
0.0011193822,6,
-3.0186825E-4,6,
0.003071493,6,
-2.5931123E-4,24,
-0.0028703944,24,
1.4575232E-4,24,
0.023498205,24,
-0.0064672353,6,
-0.0022301648,6,
-0.0072140777,6,
-0.0031273903,6,
-6.745179E-4,6,
-8.494868E-4,6,
0.0019901474,6,
-0.0018047047,6,
-0.0028375394,6,
-1.7088963E-4,6,
5.5875396E-4,6,
0.0010924808,3,
0.0020642364,3,
-0.003615804,3,
-2.659263E-4,3,
7.9480215E-4,3,
6.1542314E-4,3,
0.0024505572,3,
-0.0018380006,3,
-0.00185531,3,
2.4089924E-4,3,
7.3427416E-4,3,
0.00104827,3,
0.0011405505,3,
-0.0033321271,3,
-2.2414104E-4,3,
4.1730143E-4,3,
9.273243E-4,3,
0.0021721725,3,
-0.0018426311,3,
-0.0012381229,3,
4.23696E-4,3,
0.001042978,3,
