samples,frequencies,BPM
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
3.3049746E-5,0,
-3.1898762E-5,5,
-4.3244196E-5,5,
-4.6697154E-5,5,
-2.1868738E-5,5,
3.5022866E-5,5,
8.22133E-6,5,
-1.7100367E-5,5,
-5.179438E-5,5,
-2.8116949E-5,5,
3.2063188E-5,5,
1.8251352E-5,5,
0.0,5,
7.5636235E-6,5,
-1.2003142E-5,5,
-3.9791237E-5,5,
-2.466399E-6,5,
3.7324837E-5,4,
2.1046604E-5,4,
-1.644266E-5,4,
-2.9596787E-5,4,
-7.892477E-6,4,
2.0060046E-5,4,
2.1375457E-5,5,
3.1241054E-6,5,
-1.0687729E-5,5,
-2.2197592E-5,5,
-2.4335137E-5,5,
2.1868738E-5,4,
2.1539885E-5,4,
1.496282E-5,4,
-1.4798394E-5,4,
-2.7459242E-5,4,
-5.261651E-6,4,
1.2825275E-5,5,
1.4305114E-5,5,
-1.21675685E-5,5,
-7.070344E-6,5,
-1.39762615E-5,5,
1.0358875E-5,5,
6.9059174E-6,5,
7.399197E-6,5,
-1.644266E-7,5,
-1.4633967E-5,5,
-6.9059174E-6,5,
4.603945E-6,5,
1.9731192E-6,5,
1.0523302E-5,5,
-1.4798394E-6,5,
-1.21675685E-5,5,
-8.71461E-6,5,
1.1838715E-5,5,
2.6308255E-6,5,
5.261651E-6,5,
-4.110665E-6,5,
-2.9596788E-6,5,
-3.4529587E-6,5,
-4.603945E-6,5,
7.2347702E-6,5,
1.1509862E-6,5,
0.0,5,
5.9193576E-6,5,
-1.0852155E-5,5,
-5.4260777E-6,5,
3.1241054E-6,5,
9.865596E-6,5,
-2.1375458E-6,5,
-9.536743E-6,5,
-1.9731192E-6,5,
-4.7683716E-6,5,
3.7818118E-6,5,
6.577064E-7,5,
4.7683716E-6,5,
2.6308255E-6,5,
-5.0972244E-6,5,
-1.4798394E-6,5,
3.1241054E-6,5,
-6.577064E-7,5,
-1.644266E-7,6,
-2.7952522E-6,6,
0.0,6,
-3.288532E-7,6,
-9.865596E-7,6,
1.4798394E-6,6,
0.0,6,
4.932798E-7,6,
-9.865596E-7,6,
1.1509862E-6,6,
