samples,frequencies,BPM
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-3.76641E-5,0,
-2.9213821E-5,0,
-3.5732606E-5,0,
-1.1347517E-5,0,
-2.4143654E-5,0,
-5.5530404E-6,0,
-1.0381771E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
0.0,0,
0.0,0,
-7.243096E-7,0,
-4.828731E-7,0,
0.0,0,
0.0,0,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
0.0,192,
-2.4143654E-7,192,
0.0,240,
0.0,240,
0.0,240,
0.0,240,
0.0,240,
0.0,240,
-2.4143654E-7,240,
0.0,240,
-7.243096E-7,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
-1.2071827E-6,0,
0.0,0,
-4.828731E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-9.657462E-7,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-9.657462E-7,0,
-2.4143654E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-4.3458576E-6,0,
0.0,0,
-7.243096E-7,0,
0.0,0,
-2.6558018E-6,0,
0.0,0,
0.0,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
0.0,0,
-2.1729288E-6,0,
0.0,0,
0.0,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
-1.9314923E-6,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
-9.657462E-7,0,
0.0,0,
0.0,0,
0.0,0,
-4.828731E-7,0,
-7.243096E-7,0,
0.0,0,
-2.4143654E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-4.828731E-7,0,
