samples,frequencies,BPM
0.0,59,
-4.932798E-7,59,
5.5905043E-6,59,
-1.8086926E-6,59,
-2.515727E-5,59,
-7.1361144E-5,59,
4.709178E-4,10,
-5.2994693E-4,10,
-0.00134057,10,
7.15749E-4,10,
9.941233E-4,10,
-1.1033025E-4,10,
-5.144908E-4,10,
5.248497E-4,10,
7.742849E-4,10,
-0.0014469541,10,
-4.196167E-4,10,
0.0011182653,10,
0.0010204315,10,
-0.0014153842,10,
-5.475406E-4,10,
9.1700716E-4,10,
2.7163274E-4,10,
-7.4403035E-4,10,
-1.9402339E-4,10,
8.615954E-5,10,
7.954959E-4,10,
-0.0012401054,10,
9.3344983E-4,12,
-5.8864724E-5,12,
3.5992984E-4,12,
-0.0013183724,12,
9.117455E-4,12,
-1.4502426E-4,36,
6.600084E-4,36,
-6.001571E-5,36,
-4.6203873E-5,36,
-4.1994554E-4,36,
6.509649E-4,36,
-7.831639E-4,10,
-9.240775E-5,10,
1.66893E-4,10,
-2.2526445E-4,10,
7.5636235E-5,10,
3.6009424E-4,90,
-2.0388898E-5,90,
-4.6762926E-4,90,
-1.1181009E-5,90,
8.856017E-4,90,
-2.8297817E-4,90,
-6.738202E-4,36,
3.716041E-4,36,
5.3487974E-4,36,
-1.6722185E-4,36,
-6.254788E-4,36,
4.3984115E-4,10,
6.243278E-4,10,
-6.948668E-4,10,
-6.9009844E-4,10,
0.0010005359,10,
3.1306825E-4,10,
-6.756289E-4,10,
-7.62775E-4,10,
5.294537E-4,10,
-7.2018855E-5,10,
2.1276802E-4,10,
-3.6930214E-4,10,
3.8985547E-4,10,
-2.4746204E-4,10,
4.5694152E-4,10,
-4.6894467E-4,10,
8.553472E-4,10,
-9.614023E-4,10,
1.2496422E-4,10,
-4.6203873E-5,10,
9.318055E-4,10,
-6.993063E-4,10,
9.6518415E-5,12,
-2.7788096E-4,12,
6.562266E-4,12,
-7.9779787E-4,12,
1.5143689E-4,12,
1.9500995E-4,12,
7.2084623E-4,48,
-0.0010480551,48,
-2.002716E-4,48,
3.3526585E-4,48,
4.141906E-4,48,
-8.7195425E-4,13,
1.7840286E-4,13,
0.001000207,13,
1.4880608E-4,13,
-7.894121E-4,13,
-2.8281376E-5,13,
7.1410474E-4,10,
-5.2287658E-5,10,
-8.5090764E-4,10,
2.0405342E-4,10,
4.5348855E-4,10,
-3.5516146E-5,10,
-3.5450375E-4,10,
1.100014E-4,10,
2.50915E-4,10,
-4.5233758E-4,10,
-3.93144E-4,10,
5.8256346E-4,10,
6.041033E-4,10,
-7.721473E-4,10,
-3.4463816E-4,10,
7.1229605E-4,10,
3.398698E-4,10,
-0.0011307617,10,
2.0240915E-4,10,
7.2840985E-4,10,
4.4214312E-4,10,
-8.6027995E-4,10,
-1.223334E-4,10,
6.5556885E-4,10,
1.6837283E-4,10,
-9.826134E-4,10,
-2.2115378E-4,10,
0.0010421358,36,
-1.1772945E-4,36,
-9.0944354E-4,36,
3.6798674E-4,36,
7.274233E-4,36,
-5.1514857E-4,36,
-7.565268E-4,13,
7.9697574E-4,13,
5.2632956E-4,13,
-4.2635816E-4,13,
-5.9489545E-4,13,
5.361951E-4,36,
5.6349E-4,36,
-6.0361007E-4,36,
-4.9706164E-4,36,
3.3510142E-4,36,
6.4619654E-4,36,
-2.13919E-4,12,
-6.164353E-4,12,
2.701529E-4,12,
4.8867584E-4,12,
-3.3674567E-4,12,
-5.9818395E-4,36,
3.4348716E-4,36,
4.7815256E-4,36,
-4.0777796E-4,36,
-3.7390608E-4,36,
7.430438E-4,36,
1.254575E-4,77,
-5.260007E-4,77,
-2.6785093E-4,77,
7.098296E-4,77,
-8.747495E-5,77,
-3.9396613E-4,10,
2.2329132E-4,10,
5.422789E-4,10,
-4.215898E-4,10,
-3.702887E-4,10,
2.4943516E-4,10,
2.1375457E-5,10,
-1.5077919E-4,10,
-1.3762506E-4,10,
5.0643395E-4,10,
-9.125676E-5,10,
-5.1087345E-4,7,
-3.3543027E-5,7,
3.5236622E-4,7,
1.2660848E-5,7,
-3.2013858E-4,7,
1.5538314E-4,7,
3.4562472E-4,12,
2.1737197E-4,12,
-3.196453E-4,12,
-2.5075057E-4,12,
3.9297956E-5,12,
3.1076628E-4,10,
-2.219759E-4,10,
-3.321417E-5,10,
2.0898621E-4,10,
2.484486E-4,10,
-6.4932066E-4,10,
-1.050686E-4,74,
3.888689E-4,74,
-2.0882178E-5,74,
-3.3970535E-4,74,
2.1441228E-4,74,
4.840719E-4,2,
-2.5387466E-4,2,
0.03066704,2,
0.32088524,2,
-0.97085834,2,
0.47008777,2,
0.5017509,1,
0.39635557,1,
-1.0948321,1,
-0.44612473,1,
0.9396768,1,
0.36833498,1,
-0.24411908,1,
-0.64140254,1,
0.063187495,1,
0.38715428,1,
0.08961118,1,
-0.08984204,3,
-0.038813557,3,
-0.19248353,3,
0.05779891,3,
-0.036389746,3,
0.1462106,4,
0.048678167,4,
-0.05906631,4,
-0.009382839,4,
0.08723686,4,
-0.07967422,4,
-0.055043448,1,
0.044821378,1,
0.084680356,1,
-0.08050491,1,
-0.05818515,1,
0.061916646,1,
-0.0035261284,1,
-0.039166417,1,
0.031907313,1,
0.041460823,1,
-0.023803381,1,
-0.03308707,75,
0.02211357,75,
0.0055824476,75,
-0.01890873,75,
-0.005214625,75,
0.02491918,75,
-0.008394635,75,
-0.0094787,75,
0.0056510135,75,
0.028236652,75,
-0.036708076,75,
0.011145493,90,
-3.436516E-5,90,
0.003151729,90,
-0.0016209175,90,
0.007209942,90,
-0.003739883,75,
-0.015924059,75,
0.02447079,75,
-0.006969057,75,
-0.017973144,75,
0.010882574,75,
0.006405896,92,
-0.007221452,92,
-0.0012519441,92,
0.016526846,92,
-0.012405165,92,
-0.0044049886,92,
0.00499676,92,
0.006021302,92,
-0.016449401,92,
0.015493261,92,
-0.010219607,92,
0.009854251,93,
-0.011580236,93,
0.0045167985,93,
0.0058820327,93,
-0.0020747348,93,
-0.009411121,92,
0.0068608643,92,
-0.0046154545,92,
0.0014334711,92,
0.003952322,92,
-0.0069522858,92,
0.0035096859,60,
-0.0031244343,60,
0.0065134307,60,
-0.012328871,60,
0.009928736,60,
0.00540684,88,
-0.00697251,88,
-0.003679374,88,
0.010052878,88,
-0.0021756927,88,
-0.007951177,88,
0.0012455315,62,
0.0067724027,62,
-0.0026883748,62,
-0.006483341,62,
0.008490168,62,
-0.0017240129,62,
4.801257E-4,62,
-0.005029974,62,
8.6817244E-4,62,
0.0020956171,62,
0.0022832279,62,
-0.0062985253,88,
0.005155103,88,
3.4003422E-4,88,
-6.9914194E-4,88,
-0.0030004566,88,
-0.0030050606,10,
0.007786586,10,
-0.0021008786,10,
-0.002766313,10,
9.2555734E-4,10,
0.008032404,10,
-0.00312427,10,
-0.0048923492,10,
0.004822961,10,
0.001974599,10,
-0.003986852,10,
4.617099E-4,88,
5.403058E-4,88,
5.0150114E-4,88,
-0.0025290456,88,
0.0032497274,88,
-7.1821536E-4,88,
0.0013356373,10,
-0.0057467096,10,
0.0034891325,10,
0.004032398,10,
0.0011218827,10,
-0.004158349,10,
-7.626106E-4,10,
0.0025320053,10,
4.8012567E-5,10,
-0.0026438152,10,
2.5683435E-4,10,
-9.260506E-4,152,
0.0032520294,152,
-0.0023397906,152,
-0.0013533954,152,
-3.1487693E-4,152,
0.0013025876,189,
-0.0017797535,189,
0.0018660775,189,
0.0010062908,189,
-0.0016669569,189,
0.0014928291,189,
-9.988917E-4,120,
8.8362856E-4,120,
-0.0012897622,120,
0.001144738,120,
0.002046618,120,
-0.0011863379,10,
-0.0020908487,10,
-0.0024662346,10,
0.0051454017,10,
-5.71218E-4,10,
-0.0011460534,10,
-0.0027717391,10,
0.0023652767,10,
0.0022080848,10,
-5.7384885E-5,10,
-0.0040651187,10,
1.4025588E-4,120,
0.001711352,120,
0.001939905,120,
-0.0024037524,120,
0.0024762647,120,
-2.4088497E-4,120,
-9.882039E-4,10,
-6.5935066E-4,10,
0.002087889,10,
-0.0021416566,10,
-3.0073625E-4,10,
0.0025588067,92,
-2.0356014E-4,92,
2.2822412E-4,92,
-0.0036714815,92,
0.0020956171,92,
-0.0018384538,92,
0.003549148,189,
-0.002338804,189,
0.0015661634,189,
-2.0536882E-4,189,
1.12467795E-4,189,
-0.0017961962,60,
0.002542693,60,
-0.0012706887,60,
8.617598E-4,60,
-0.0015296607,60,
0.0026336208,60,
-0.002417071,62,
-1.5998709E-4,62,
-0.0015472543,62,
0.004149634,62,
-0.0024917207,62,
-3.8442938E-4,88,
1.8317123E-4,88,
0.001489705,88,
-0.0030940154,88,
0.002036259,88,
-0.002183092,88,
0.0042854506,10,
-0.004857162,10,
0.0016126961,10,
5.4277224E-4,10,
0.004113625,10,
-0.0046243337,48,
-0.0010669642,48,
6.162709E-4,48,
0.0032724182,48,
-0.0038776726,48,
0.0016575846,48,
8.0453936E-4,92,
0.0012886113,92,
-0.0037171922,92,
0.001820367,92,
-0.002275993,92,
0.0023932292,10,
-0.0015206172,10,
0.00214922,10,
-0.0016635039,10,
7.1525574E-4,10,
-0.0015507073,10,
0.0026428287,74,
-4.439518E-4,74,
-6.07063E-4,74,
-0.0017123386,74,
0.0024636039,74,
0.0014829636,62,
-0.0021562905,62,
-0.001061867,62,
0.0020752281,62,
3.245781E-4,62,
-0.00324463,62,
-4.505289E-5,10,
0.0020469467,10,
0.0019601295,10,
-0.0039342353,10,
-2.1128818E-4,10,
0.0020402053,46,
6.955245E-4,46,
-0.003020681,46,
0.0013453384,46,
0.0010797895,46,
3.5318834E-4,46,
-0.0030021009,62,
0.0025482834,62,
1.08028275E-4,62,
-4.1320405E-4,62,
-7.5570465E-4,62,
0.0016835639,62,
-2.5601222E-4,62,
-4.3244197E-4,62,
-0.002720767,62,
0.0031495916,62,
-0.0013150839,62,
5.0150114E-4,10,
-0.0014703027,10,
0.0029721751,10,
-0.0017016509,10,
-9.2572176E-5,10,
-0.0015484053,10,
0.0029113374,10,
-7.071988E-4,10,
9.27366E-4,10,
-0.0033529873,10,
0.0031025654,10,
5.016656E-4,10,
-0.0012003141,10,
-0.0010061264,10,
0.001920996,10,
-9.512079E-4,10,
-3.6387605E-4,62,
2.6242484E-4,62,
0.0015225903,62,
-0.001728288,62,
-9.1503403E-4,62,
2.6653553E-4,62,
0.0025140827,10,
-0.0020523728,10,
-5.399769E-4,10,
8.676792E-4,10,
0.0022505068,10,
-0.0025479547,48,
-8.339717E-4,48,
0.001889426,48,
0.0011766368,48,
-8.8247756E-4,48,
-0.0014587928,48,
0.0011468756,91,
-1.3713179E-4,91,
-0.0011993276,91,
-4.6039448E-5,91,
6.639546E-4,91,
-6.626392E-5,76,
6.075563E-4,76,
-0.0011827205,76,
0.0015784954,76,
-0.0010950812,76,
-0.0011662779,76,
2.200028E-4,10,
0.00173059,10,
-0.0011795964,10,
1.1016582E-5,10,
3.3247058E-4,10,
0.0019589786,76,
-8.13254E-4,76,
-0.0021324486,76,
6.6428346E-4,76,
0.0020998921,76,
-0.0014425146,76,
-8.698167E-5,48,
-9.280237E-4,48,
0.0019009359,48,
-0.0018090215,48,
-2.9366591E-4,48,
1.2841717E-4,11,
0.0019389185,11,
-0.0013727976,11,
3.9725465E-4,11,
2.62096E-4,11,
6.532669E-4,11,
-0.0017325631,10,
1.4699738E-4,10,
4.885114E-4,10,
2.6686437E-4,10,
-7.366312E-5,10,
5.054474E-4,10,
-9.9313664E-5,10,
2.6423356E-4,10,
-0.0015870455,10,
0.0011495064,10,
-1.0128679E-4,10,
4.6647826E-4,10,
-0.0019343145,10,
0.0013330064,10,
-5.9358004E-5,10,
3.6009424E-4,10,
-0.0018338499,10,
0.0017365094,10,
1.03753184E-4,10,
5.3372874E-4,10,
-0.0012918998,10,
6.243278E-4,10,
1.54561E-5,10,
-7.826706E-5,10,
-0.0012154414,10,
0.001381019,10,
1.8843288E-4,10,
-9.753786E-4,0,
-5.013367E-4,0,
0.0015396907,0,
-4.2504276E-4,0,
-4.5875022E-5,0,
-2.9103508E-5,0,
-1.742922E-5,0,
-1.1509862E-6,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
