samples,frequencies,BPM
-5.1010484E-5,42,
0.018721513,42,
-0.008406362,23,
-0.0050049047,23,
-0.0023012937,0,
-0.0010357347,0,
-4.5316163E-4,0,
-1.9478242E-4,0,
-7.019486E-5,0,
-2.6725058E-5,0,
-5.544618E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,16,
-0.0060182945,16,
-0.004052062,8,
0.032082878,8,
-0.018739922,8,
-0.01266801,5,
-0.02255129,5,
0.08333034,5,
-0.03410633,5,
-0.015936397,10,
0.015974376,10,
0.01581253,10,
-0.044918004,10,
0.016530003,5,
-0.015932571,5,
0.024793258,10,
-0.03129216,10,
-0.014673055,10,
0.05114034,5,
-0.0093271565,5,
-0.051577643,5,
0.020985657,5,
0.04141203,5,
-0.03340477,5,
0.02165811,5,
-0.039380427,5,
0.058095507,5,
-0.026951998,5,
-0.008859412,8,
0.032605015,5,
0.019997774,5,
-0.05361967,8,
0.027316114,8,
0.0198555,5,
-0.072413206,5,
0.005854451,5,
0.0030805897,5,
0.018886743,8,
0.025970547,8,
-0.044939127,5,
0.039234105,5,
0.016324963,8,
-0.062818415,5,
0.050872922,5,
-0.018978562,8,
-0.026586942,8,
0.042011514,5,
-0.0055462257,5,
0.018753894,8,
4.0098676E-4,8,
-0.037201837,5,
0.03207994,5,
0.005282635,8,
-0.07597341,8,
0.027732516,8,
0.023505632,5,
-0.031155929,5,
0.020601582,8,
0.0041821944,8,
-0.022295075,5,
0.050719336,5,
-0.044705145,8,
0.034701157,8,
0.006392667,5,
-0.06220102,5,
0.061502732,8,
-0.013813639,8,
-0.009237057,8,
0.042068403,8,
-0.013258401,8,
0.020889126,7,
-0.013105536,7,
-0.06066566,8,
0.018291084,8,
0.00517518,8,
-0.03277418,8,
0.036748562,5,
0.022829631,5,
-0.05036376,8,
0.037963055,8,
6.614729E-5,8,
0.0038516796,8,
-0.01817986,8,
-0.03489278,8,
0.022397429,8,
0.02570252,8,
-0.031881664,8,
0.019828828,8,
0.03510547,8,
-6.265418E-5,8,
5.6605006E-4,8,
-0.042607006,8,
0.0074348333,8,
-0.017690547,8,
-0.0148041295,8,
0.036314584,8,
0.024578681,8,
-0.004022066,8,
-0.02716009,8,
0.039647955,8,
-0.05160498,8,
-0.0034495285,8,
0.019411542,8,
0.004208476,8,
-0.00966133,8,
-0.009326269,8,
0.011054139,8,
0.059641846,8,
-0.026111823,8,
-0.0060196808,8,
0.02644622,8,
-0.04026995,8,
-0.030388998,8,
0.011931574,8,
-0.0049547814,8,
0.041125927,8,
-0.022465406,8,
-0.004536107,5,
0.038355228,5,
-0.06625564,8,
7.206894E-4,8,
0.026032979,8,
0.0069787335,8,
-0.012882199,8,
1.538077E-4,8,
-0.008618055,8,
0.07544218,8,
-0.055604476,8,
0.013391361,11,
0.053205322,11,
-0.07820656,5,
-0.033835866,5,
0.05677378,8,
-0.034120914,8,
0.007629727,8,
0.03962927,8,
-0.023343561,8,
0.020437684,8,
-0.050152455,8,
-0.0061428268,8,
0.041657045,8,
-0.009825895,12,
-0.044265788,12,
0.040430576,5,
-0.008826311,11,
0.00962213,11,
-0.012932877,11,
0.013071658,11,
0.053127088,12,
-0.054746557,12,
-0.019294992,5,
0.03641045,5,
-0.033347994,11,
0.001659615,11,
0.053897012,12,
-0.027915543,12,
0.014399095,11,
-0.028496342,8,
0.0021640088,8,
0.022714691,8,
-0.0164017,8,
-0.032350738,12,
0.048933968,12,
-0.030715076,11,
-0.026928768,11,
0.04774515,11,
-5.8334926E-4,11,
0.0183106,8,
-0.014209691,8,
-0.01974588,11,
-0.009308194,8,
-0.017460778,8,
-0.0032022386,12,
0.059703335,12,
-0.031571053,12,
0.007167472,12,
0.012292085,11,
0.0121406065,11,
-0.015254131,8,
1.1771224E-4,8,
-0.0056419815,12,
-0.0049352087,12,
-0.009912169,11,
-0.035505183,8,
0.07338263,8,
-0.014452268,12,
-0.001361869,12,
0.0358851,8,
-0.03983137,8,
-0.040340476,8,
0.014056438,8,
-0.009109586,8,
0.029545939,8,
0.013738565,8,
0.005705356,8,
0.0022462911,8,
0.0068982253,8,
-0.03397875,8,
0.030083489,8,
-0.0041127205,8,
-0.036340423,8,
0.013348723,8,
-0.024258979,8,
0.025586748,8,
0.0013371955,8,
-0.011654676,8,
0.073463134,8,
-0.03956717,8,
-0.062491335,8,
0.03402632,8,
-0.022924665,8,
0.010324134,8,
0.03855766,8,
0.0068441653,8,
-0.0019538125,8,
0.005487841,8,
-0.028341481,8,
0.015610262,8,
0.0034002922,8,
-0.05244959,8,
0.036828406,8,
-0.0032044011,8,
-0.0041454337,11,
0.0034041181,11,
0.014907592,8,
0.008325743,8,
-0.020891566,8,
-0.02697584,8,
-0.005203236,11,
2.4163445E-4,11,
0.017875958,11,
0.03349803,11,
0.010137446,11,
-0.029579205,11,
-0.007802774,11,
0.024138937,12,
-0.01615064,12,
-0.012562163,11,
0.007892819,11,
-2.887637E-4,11,
0.0021288006,11,
-0.012911474,11,
0.028030649,11,
0.036905974,11,
-0.04367218,11,
-0.00655518,12,
0.0036106552,12,
-0.039542217,12,
0.010845217,8,
0.039401107,8,
0.012218951,11,
-0.001035291,11,
-0.025812857,8,
0.0011113078,8,
0.009874022,12,
-0.008240633,12,
-0.018670559,8,
0.024434244,8,
-0.02057691,8,
-0.004308057,8,
0.030803235,12,
0.0025353874,8,
0.016064975,8,
-0.028419826,11,
-0.012434027,11,
-0.014331285,8,
-0.016957104,8,
0.016112715,12,
0.045928452,12,
-0.0038319963,8,
-0.015250638,8,
0.004879319,8,
0.020340819,8,
-0.028688796,8,
0.010454321,8,
-0.032936804,8,
0.022994917,8,
-0.001671924,8,
-0.029442752,8,
0.06204871,8,
-0.005505972,8,
-0.02172226,8,
0.022449104,8,
-0.03787922,8,
-0.028086595,8,
0.019493103,8,
0.029328423,8,
0.01717207,8,
-4.8293622E-4,8,
-0.018070908,8,
0.012412348,8,
0.0021184876,8,
-0.052415878,8,
0.03532038,8,
-0.03139712,8,
1.6179195E-4,8,
0.011030795,8,
-0.0033333688,8,
0.05434851,8,
-0.013880507,8,
-0.028621262,8,
0.035445135,8,
-0.045184035,8,
-0.045742042,8,
0.05770367,8,
0.008431589,8,
0.004513984,8,
0.025814299,8,
-0.006558784,8,
-0.0022104173,8,
-5.885612E-4,8,
-0.04690209,8,
0.027028682,8,
-0.030253764,8,
-0.019885661,8,
0.037939657,8,
0.0031305468,8,
0.012203925,8,
0.019646578,8,
-0.030559162,8,
0.0051950295,8,
-0.019828163,8,
-0.03837613,8,
0.049678944,8,
0.011507688,8,
-0.012376696,8,
0.058271326,8,
-0.01800648,8,
-0.013868032,8,
-2.9480734E-4,8,
-0.01315006,8,
0.0013379162,8,
-0.035228617,8,
-0.016283378,8,
0.04366686,8,
0.013707848,8,
-0.022414839,8,
0.03972741,8,
-0.015246646,8,
-0.03816277,8,
0.0067116492,8,
-0.018593267,8,
0.009660887,8,
0.030811053,8,
0.0063350033,8,
0.01822139,8,
0.0036580062,8,
-0.031067824,8,
0.015556479,8,
0.0066686226,8,
-0.045104746,8,
-0.0014545196,8,
0.0014990428,8,
0.0034431522,8,
0.031119002,8,
