samples,frequencies,BPM
-3.5374662E-5,46,
0.017066445,46,
-0.009089735,23,
-0.004984778,23,
-0.0022395821,0,
-0.0010015243,0,
-4.394664E-4,0,
-1.893487E-4,0,
-6.420667E-5,0,
-2.3897303E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-5.4337256E-6,31,
-0.004218401,31,
0.025583254,8,
-0.027918482,8,
0.0029148057,8,
-0.0029957015,8,
-0.03816488,8,
0.06292853,8,
0.001328435,8,
-0.012329234,8,
0.010608074,8,
-0.031202558,8,
0.029843794,8,
-0.045091994,8,
0.06405065,8,
-0.07646827,8,
0.07031518,8,
-0.041796606,8,
0.0178881,8,
0.030206358,8,
-0.03923588,8,
0.018438848,8,
-0.041535452,8,
0.0271882,8,
-0.04623973,8,
0.08055703,8,
-0.030889787,8,
4.3735947E-4,8,
0.0075003156,8,
-0.0486543,8,
0.06783119,8,
-0.038018726,8,
0.038730264,8,
-0.05961163,8,
0.038591817,8,
-0.054915726,8,
0.056765854,8,
0.005141801,8,
-0.025562517,8,
0.015894756,8,
-0.042045392,8,
0.04320322,11,
-0.032926936,11,
0.02478228,8,
-0.029784523,8,
0.039858595,8,
-0.0048099007,8,
-0.0336601,8,
0.05573927,8,
-0.0589501,8,
0.036785156,8,
-0.009659556,8,
-0.023833651,8,
0.0065215793,8,
0.042003475,8,
-9.767399E-4,8,
-0.035924356,8,
0.040520567,8,
-0.07812283,8,
0.06777702,8,
-0.01703678,8,
-0.0049593835,11,
0.014163949,11,
-0.0137614645,11,
0.01894352,11,
-0.018443728,8,
0.050774116,8,
-0.106825605,8,
0.079835236,8,
-0.05769768,8,
0.04112454,8,
0.020753061,8,
-3.5413474E-4,11,
0.00590962,11,
-0.04892277,11,
0.041223124,11,
-0.036588546,5,
0.0397828,5,
-0.050202966,12,
0.011363473,12,
0.02506816,7,
-0.009234506,7,
0.0180301,12,
-0.0046838713,12,
0.03703023,12,
-0.08468894,12,
0.05885623,12,
-0.058031023,11,
0.02335454,11,
0.034483198,12,
-0.021975871,12,
0.034207463,11,
-0.055371605,11,
0.020898053,12,
-0.05040906,12,
0.1047615,3,
-0.098960616,3,
0.051340833,11,
-0.029301975,11,
0.0069227326,11,
0.05473131,11,
-0.025785744,11,
0.015835484,4,
-0.051432487,4,
0.030824471,8,
-0.03540976,8,
0.031007055,11,
0.01995142,11,
-0.043475017,4,
0.042117916,4,
-0.026764093,8,
0.027701188,11,
-0.03450604,11,
0.031803098,8,
-0.055531345,8,
0.024421103,8,
0.02724481,8,
-0.06584367,8,
0.10521428,8,
-0.06527357,8,
0.02260147,8,
-0.015786469,8,
0.0033792227,8,
-0.027036777,8,
0.053818278,8,
-0.032879695,8,
-0.03165461,8,
0.058204237,8,
-0.03680728,8,
0.049459543,8,
-0.007620911,8,
-0.032055765,8,
-0.013806986,8,
-0.012221335,8,
0.03264333,8,
-0.0102210045,8,
0.049853377,8,
-0.050498273,12,
0.023671526,12,
-0.017644692,8,
0.011532195,8,
0.003977265,8,
-0.023519991,8,
0.014584784,8,
-0.0098253405,8,
0.03170518,8,
-0.04224888,8,
0.068664715,8,
-0.059992656,8,
0.0072253025,8,
-0.03173218,8,
0.015374227,8,
0.014487975,8,
-0.01648437,8,
0.043573044,8,
-0.030428587,8,
0.0013116348,8,
0.002337888,8,
0.028459858,8,
-0.018482652,8,
-0.029828269,8,
0.030688295,8,
-0.040784046,8,
0.03881809,8,
0.005817136,8,
-0.00834038,8,
-0.0034056152,8,
0.018855693,8,
-0.020326236,8,
-0.0063987663,8,
0.028031426,8,
-0.06477949,8,
0.07128587,8,
-0.027607761,8,
0.013258512,8,
0.028326066,8,
-0.026920782,8,
-0.021763844,8,
0.014260757,8,
-0.0027380432,8,
-0.023781199,8,
0.064070664,8,
-0.0640191,8,
0.04731411,8,
5.447587E-4,8,
-0.023770109,8,
0.0054014004,8,
0.0034977668,8,
-0.01993584,8,
0.019766118,8,
-6.5215793E-4,8,
-0.022754392,8,
0.045800984,8,
-0.016395435,8,
-0.02240508,8,
0.009102599,8,
-0.0031675848,8,
-0.026159175,8,
0.0083969915,8,
0.03195624,8,
-0.031837694,8,
0.030645158,8,
0.018296463,8,
-0.044276822,8,
0.026998518,8,
-0.01209758,8,
-0.031349935,8,
0.049261436,8,
-8.980063E-4,8,
-0.036098566,8,
0.0266537,8,
0.0050294674,8,
-0.024214955,8,
0.05149935,8,
-0.032468673,8,
-0.015086295,8,
0.020549351,8,
-0.037801098,8,
0.029033782,8,
0.015760742,8,
-0.012035036,8,
-0.017358147,8,
0.03879364,8,
-0.03564241,8,
0.010642395,8,
-0.007977873,8,
0.002667072,8,
0.028552065,8,
-0.020602914,8,
0.007578162,8,
-0.018560609,8,
0.0016906649,8,
-0.0022238907,8,
0.0056555658,8,
-0.0101997685,8,
0.012705381,8,
-0.008380635,8,
0.0024280436,8,
0.01550813,8,
-0.008527899,8,
-0.0053104134,8,
-0.0044365814,8,
-0.021586694,8,
0.036718234,8,
0.002402982,8,
-0.012706157,8,
-0.0055547645,8,
0.009386484,8,
-0.007797174,8,
0.009464108,8,
0.012235751,8,
-0.025337517,8,
-0.008917852,8,
0.034249436,8,
-0.019444974,8,
-9.721933E-4,8,
0.032184124,8,
-0.056387044,8,
0.045367837,8,
-0.007395966,8,
-0.024338156,8,
0.025720319,8,
-0.011762963,7,
-0.011902686,7,
0.04235118,8,
-0.011969222,7,
-0.027849285,7,
0.031768553,7,
-0.030958872,7,
-0.019864092,7,
0.046894383,7,
-0.020516861,7,
-0.008936926,7,
0.03934217,7,
-0.02329804,7,
0.004684592,7,
-0.010739924,7,
3.290176E-4,7,
-0.0060232845,7,
0.038356945,7,
-0.043612245,8,
0.015962346,8,
-0.008615782,8,
0.018004429,8,
0.0046279817,8,
-0.032375135,8,
0.024442727,3,
-0.042186834,3,
0.052813705,8,
-0.02667183,8,
0.01647489,8,
-0.01926605,8,
0.011242489,8,
-0.0070699975,8,
0.010033374,8,
-0.0013338687,7,
-0.017988682,7,
0.017546775,7,
-0.011047929,7,
0.003381607,8,
0.005760026,8,
0.0042091412,8,
-0.014281938,8,
0.004187462,7,
0.025296044,7,
-0.037446965,7,
0.024106113,7,
-0.0065874495,7,
-0.02061256,7,
0.04210167,7,
-0.014154855,7,
-0.0061500347,7,
-0.012724676,8,
0.02451869,8,
-0.054112475,8,
0.04874634,8,
-0.014392941,8,
0.0034896715,7,
0.029029734,7,
-0.029163137,7,
-0.00705037,7,
0.002478167,7,
0.0027348828,7,
-7.674306E-4,7,
0.041632928,7,
-0.061283052,7,
0.014611842,7,
0.020550793,8,
-0.024867112,8,
0.029605875,8,
-0.0068655675,7,
-0.019585809,7,
0.0011664212,7,
0.01729516,7,
-0.02916896,7,
0.030264132,7,
-0.010400594,7,
-0.01294768,7,
0.02559573,7,
-0.024448438,7,
3.4332272E-4,8,
0.009282356,8,
0.0050147744,8,
-0.017166747,7,
0.016001435,7,
0.024511259,7,
-0.035371613,7,
0.019480072,7,
-0.024737813,7,
-0.0040350403,7,
0.014670449,7,
0.006220507,7,
-0.013359036,7,
0.0083370535,8,
-0.0038000592,8,
0.0047731954,8,
0.009581654,8,
-0.01684771,8,
0.022629581,8,
-0.02577909,8,
0.009639983,8,
-1.494829E-4,8,
-0.0011956414,7,
0.011948652,7,
-0.0041624554,7,
-0.0036112096,7,
0.0020482372,7,
0.002961824,7,
-0.013344454,7,
0.035209708,7,
-0.040001314,7,
-0.011157434,7,
0.043922022,7,
-0.02951439,7,
0.021647908,7,
7.45363E-4,7,
-0.018764706,7,
0.004310275,7,
-0.00270533,7,
-0.011119122,7,
0.017971382,7,
0.01658933,7,
-0.035426617,7,
0.037707116,7,
-0.032134388,7,
3.5380205E-4,7,
0.0134282885,7,
4.873719E-4,7,
-0.027627999,7,
0.021539565,7,
0.012121366,7,
-0.035794668,7,
0.035877172,7,
-0.017136361,7,
-0.017341401,7,
0.023041159,7,
0.01006581,7,
-0.026838003,7,
0.018524846,7,
0.0012554124,7,
-0.030556777,7,
0.03634242,7,
-0.009554264,7,
-0.0016507991,7,
0.0047451947,7,
-0.004225775,7,
-0.013687499,7,
0.014061816,7,
0.011524488,7,
-0.015706073,7,
0.0122431815,7,
-0.009313351,7,
3.4432076E-5,7,
9.7141706E-4,7,
0.0069354298,7,
-0.008826311,7,
-0.0021702189,7,
0.02183282,7,
-0.020851865,7,
0.010565713,7,
6.793266E-4,7,
-0.010723069,7,
0.007201904,7,
0.0031068157,7,
-0.0065521304,7,
0.0018860572,7,
0.018008253,7,
-0.030162832,7,
0.019399343,7,
-0.014510653,7,
-0.0027854496,7,
0.015462996,7,
0.0011554983,7,
-0.021620627,7,
0.014962595,7,
0.0038953158,7,
-0.023733737,7,
0.030305939,7,
-0.008185575,7,
-0.017723316,7,
0.01833095,7,
-0.001812092,7,
-0.018137997,7,
0.019282795,7,
0.0035669636,7,
-0.02473454,7,
0.022924056,7,
-0.0025732017,7,
-0.013282908,7,
0.015574998,7,
-0.004564052,7,
-0.013642588,7,
0.014527564,7,
0.0058419756,7,
-0.014336497,7,
0.010950343,7,
-0.0023123275,7,
-0.00868021,7,
0.009055913,7,
0.0011440765,7,
-0.0071999636,7,
0.0023748707,7,
0.009626843,7,
-0.013717496,7,
0.014538986,7,
0.0018079336,7,
-0.012324244,7,
0.0023022362,7,
0.0057871947,7,
-0.010156409,7,
9.6820114E-4,7,
0.011108476,7,
-0.015003404,7,
0.006044077,7,
0.006191453,7,
-0.011403505,7,
0.0052594026,7,
0.0057347985,7,
-0.010364332,7,
0.002873609,7,
0.008844109,7,
-0.011333476,7,
0.0031404162,7,
0.005822348,7,
-0.007679074,7,
0.0015119618,7,
0.005970666,7,
-0.006777575,7,
-1.182667E-4,7,
0.0085095465,7,
-0.008249948,7,
-0.0016610567,7,
0.010200045,7,
-0.007956915,7,
-0.0018819541,7,
0.009263726,7,
-0.0068287514,7,
-0.0026504938,7,
0.010419114,7,
-0.0074255187,7,
-0.004187295,7,
0.010827863,7,
-0.0055121817,7,
-0.005263062,7,
0.016122585,7,
-0.009006899,7,
-0.0066717276,7,
0.012428483,7,
-0.0076608877,7,
-0.00713243,7,
0.01465193,7,
-0.0073384126,7,
-0.007251085,7,
0.013577272,7,
-0.0054399357,7,
