samples,frequencies,BPM
9.855428E-5,16,
0.013993946,16,
-0.008223622,23,
-0.0031887447,23,
-0.0012601344,0,
-4.8744414E-4,0,
-1.7142356E-4,0,
-5.4271444E-5,0,
-1.4602395E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,97,
0.019049276,97,
-0.029951273,64,
0.020613825,55,
0.015781956,55,
-0.04012377,6,
-0.005164634,6,
-0.008104329,6,
0.029339684,6,
0.01051558,6,
0.02454967,6,
-0.032623842,12,
-0.023048336,12,
0.0051467023,6,
0.019955767,6,
0.015481869,3,
-0.01113806,6,
-0.029285936,6,
0.0010406704,3,
0.023056755,6,
0.02164408,6,
0.001046949,9,
-0.0104429955,6,
0.006847905,6,
-0.049315237,12,
0.0031829416,12,
0.009048206,6,
-0.007341247,12,
0.02429753,12,
0.026162593,9,
-0.011745701,6,
-0.00868091,6,
-0.017098216,6,
0.012390299,6,
-1.0383397E-4,6,
0.0033771486,6,
-0.0037865867,6,
-0.02338091,6,
0.008720865,12,
0.020000383,12,
0.020480739,6,
0.009937334,6,
-0.023544341,12,
-0.01736534,6,
-0.028827269,6,
0.012672787,6,
0.021171857,6,
-0.0029809815,6,
0.0147334365,6,
0.0042279405,6,
-0.024551716,6,
-2.0267363E-4,6,
-0.011419025,6,
0.0059593944,6,
0.017562829,3,
0.011329413,3,
-0.022753052,6,
-0.026429193,6,
0.0140505005,5,
0.009617223,6,
0.020515367,6,
0.028019238,9,
-0.027568752,6,
-0.04377232,6,
-0.00909891,3,
0.020075772,6,
0.010927443,6,
0.0019302274,12,
0.021865541,12,
-0.01274732,12,
0.0050822995,12,
-6.312801E-4,12,
-0.008339061,12,
0.013569715,12,
0.0035357298,12,
0.017965037,12,
-0.03684389,12,
-0.015706565,12,
0.015500086,12,
0.0015644064,12,
0.025526699,12,
-0.0011220537,12,
-0.013127268,12,
-0.014903433,12,
-0.017625425,12,
0.024015423,12,
-0.014098018,12,
0.013801547,12,
0.024085915,12,
-0.024521608,3,
-0.0012604198,3,
-0.011696613,5,
0.00876724,5,
0.011938338,9,
-0.0050870557,5,
0.025348902,5,
-0.045309614,9,
-0.026465962,9,
0.004833916,9,
0.041144747,5,
0.024465766,5,
0.0010820518,5,
0.0065150466,5,
-0.047670256,5,
-0.010273237,4,
0.007611891,6,
-0.001111209,6,
0.028409556,12,
-0.016707709,12,
0.012401001,12,
-0.021211145,12,
0.004508525,12,
0.029328555,12,
-0.012349822,12,
0.03810136,12,
-0.031148432,6,
-0.044364505,12,
0.016494239,12,
0.007333114,6,
0.029739086,6,
-0.0099490825,12,
0.009944469,6,
0.0050644153,6,
-0.030742275,5,
-0.008992887,6,
-0.021379428,6,
0.010150282,3,
