samples,frequencies,BPM
2.1734902E-5,41,
0.014264306,41,
-0.0066929082,23,
-0.00371689,23,
-0.0017486616,0,
-7.810703E-4,0,
-3.3622564E-4,0,
-1.3828278E-4,0,
-4.3747033E-5,0,
-9.259512E-6,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
2.7168628E-6,10,
0.001636993,10,
-0.01522724,10,
0.011167525,10,
0.001539685,6,
0.003598956,6,
-0.020987155,5,
0.011902299,5,
0.024579901,5,
0.007398849,5,
-0.043315608,5,
0.011945103,7,
0.010002103,7,
0.01671558,5,
0.0026644107,5,
-0.035446577,5,
0.021357425,5,
-0.016764153,5,
-0.03331617,5,
0.05572507,5,
0.008128908,5,
-0.024256151,5,
0.0018547301,5,
-0.02708701,7,
0.030965637,5,
0.012657808,5,
-0.0055793272,5,
-0.0302918,5,
0.030909915,5,
-0.04034946,5,
0.009763018,5,
0.04745184,5,
-0.010964537,5,
-0.031788457,5,
-0.012652596,5,
0.006557952,5,
0.040763643,7,
-0.007138252,7,
-0.024623316,7,
0.013510515,7,
0.010130239,7,
-0.05755319,5,
0.049940538,5,
0.025987457,5,
-0.020326847,5,
-0.023464324,7,
0.0011994672,7,
0.019350052,5,
0.019028962,5,
-0.028145423,7,
-0.005363586,5,
0.011469597,5,
-0.010788385,5,
-0.017578213,5,
0.042309925,7,
0.010426321,7,
-0.03181657,5,
-0.019359143,5,
0.010239357,7,
0.019050919,7,
0.020255376,7,
-0.028402304,7,
-0.0029332137,5,
0.0214147,7,
-0.04969303,7,
0.03283811,5,
0.021123718,5,
-0.02207695,7,
-0.018811557,7,
0.010580794,7,
0.010955943,7,
0.014399206,5,
0.003822127,5,
-0.042877194,7,
0.029902956,7,
-0.009680792,7,
-0.03291612,7,
0.04661288,7,
0.015047705,5,
-0.034687627,5,
-0.0054413215,7,
-0.007834545,7,
0.023540284,7,
0.01992719,7,
-0.03257158,5,
0.0035808806,5,
0.012175371,7,
-0.025687937,7,
0.0044570966,5,
