samples,frequencies,BPM
-2.2662226E-4,32,
8.193624E-4,32,
0.013065404,32,
-0.0063151848,23,
-0.0032378405,23,
-0.0016558709,0,
-8.409613E-4,0,
-4.2207565E-4,0,
-2.0515628E-4,0,
-8.945265E-5,0,
-3.396011E-5,0,
-8.107893E-6,0,
-1.3956209E-6,0,
-1.5285372E-6,0,
-7.9749765E-7,0,
0.0,0,
-5.981232E-7,0,
0.0,0,
0.0,0,
-1.9937441E-7,0,
0.0,0,
-6.645814E-8,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-2.7247836E-6,0,
0.0072332374,24,
-0.0034112297,24,
-0.0017727709,0,
-9.096126E-4,0,
-4.5590283E-4,0,
-2.2057457E-4,0,
-1.0480449E-4,0,
-3.396011E-5,0,
-1.1364342E-5,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
1.7412032E-5,56,
0.010348928,56,
-0.03078999,8,
0.027022278,8,
0.0014005388,12,
0.027115187,12,
-0.014685587,12,
-0.021488043,12,
-0.018959377,12,
0.035019718,12,
-0.034451965,12,
0.029947897,9,
0.0067025027,9,
-0.0031503816,9,
-0.034494366,9,
-0.026598873,9,
0.061473846,9,
-0.05461809,9,
0.030684255,12,
-9.7148505E-4,12,
0.02596812,8,
-0.037150897,8,
-0.0110863475,6,
0.03303295,6,
-0.023176478,8,
0.021272253,8,
0.030482488,8,
0.0067145317,10,
-0.018606683,10,
-0.018087048,5,
0.04051295,5,
-0.047603432,9,
0.027406007,9,
-0.0019878293,6,
0.015237588,6,
-0.029345853,6,
-0.013211412,9,
0.023067089,9,
-0.032593064,8,
0.010070468,8,
0.021477409,9,
0.0011715905,9,
-0.014871072,8,
-0.021855356,8,
0.032511257,6,
-0.028097106,6,
-0.0021703234,6,
0.026245382,8,
-0.0032531924,8,
-0.015728315,6,
-0.009993576,6,
0.014799496,11,
-0.02048406,11,
0.0146772135,5,
0.039746486,5,
0.01160585,5,
-0.005533637,5,
-3.1913197E-4,5,
-0.014106471,6,
-0.023838667,6,
-0.0064677726,8,
0.049500745,8,
-0.01455513,6,
-0.028147547,6,
0.021244142,6,
-0.03503487,9,
0.022277897,9,
-0.019008556,4,
0.03145776,4,
-0.017937649,8,
-0.011598939,8,
0.0076557784,6,
-0.027173204,6,
0.034213845,8,
-0.033500616,8,
0.044807807,8,
-0.005857288,8,
-0.018203748,8,
0.039994176,5,
-0.03676039,5,
0.039765824,8,
-0.023952179,8,
0.042239662,4,
-0.021600291,4,
-0.04039751,4,
0.036753014,8,
-0.023155278,8,
0.032455232,8,
-0.034671944,8,
0.037683826,9,
-0.058678284,9,
0.005934579,6,
0.038915627,6,
-0.06346533,6,
0.06434596,8,
-0.044259526,8,
0.020339048,6,
-0.030229481,6,
-0.006342565,8,
0.04358112,8,
-0.025019828,8,
0.065555505,8,
-0.051267073,8,
0.02015815,8,
-0.029349908,8,
0.01960947,5,
0.034674533,5,
-0.050818942,8,
0.06676737,8,
-0.059622254,11,
0.044794645,11,
-0.0644842,7,
0.021934243,7,
0.022461921,7,
-0.04059469,8,
0.06439687,8,
-0.051282488,8,
0.03297593,8,
-0.034777343,9,
-0.026024409,9,
0.03090968,8,
-0.033883348,8,
0.0612972,8,
-0.037261482,8,
0.0019393814,8,
-0.005760259,4,
0.031834114,4,
-0.014878981,5,
-0.024860062,5,
0.05720278,5,
-0.032213524,5,
0.027999079,8,
0.007069418,8,
0.018909734,8,
-0.039322883,4,
-0.04330047,4,
0.08941969,8,
-0.066880085,8,
0.01523606,8,
-0.0043440363,8,
0.023783041,8,
-0.04079307,8,
-0.01025582,8,
0.059255406,8,
-0.05380896,8,
-0.033389367,8,
0.03213776,8,
0.042592157,6,
-0.04963765,6,
0.0027643926,6,
0.04518788,6,
-0.03389179,6,
-0.017573725,6,
0.051710747,6,
0.013435377,5,
-0.046812847,5,
0.0152976,8,
0.046420146,8,
-0.045702264,4,
-0.01933965,4,
0.04756602,8,
0.009754526,8,
-0.046319727,8,
0.010589839,6,
-0.015526681,6,
0.011192082,6,
-0.034096546,6,
0.060207486,6,
-0.007974046,6,
-0.048233323,6,
0.021838278,6,
-0.021348547,6,
0.018074088,6,
-0.044294883,6,
0.09221465,6,
-0.02953207,6,
-0.044729054,6,
0.08419475,6,
-0.037471958,6,
0.021839805,6,
-0.08379866,5,
0.105938524,5,
-0.008343487,5,
-0.07479472,4,
0.07191668,4,
-0.031450648,4,
0.017034816,4,
-0.0725158,6,
0.08480869,6,
-0.022053601,6,
-0.046241306,6,
0.04863001,6,
-0.037727486,6,
0.024762435,6,
-0.057563182,6,
0.10067663,6,
-0.09055061,6,
-0.022218551,6,
0.08516597,6,
-0.035342503,6,
0.027740492,6,
-0.07216962,6,
0.11194402,6,
-0.052785706,4,
-0.039781444,4,
0.08310218,5,
-0.024947854,5,
-0.006339508,5,
-0.02906261,5,
0.0757018,4,
-0.070441104,4,
0.009027208,4,
0.055776387,6,
-0.038235426,6,
-0.009222662,3,
-0.015642451,3,
0.07974166,3,
-0.113938294,3,
0.0013984122,4,
0.052004956,4,
-0.024267456,4,
0.01447332,8,
-0.026621668,8,
0.057265516,6,
-0.08458274,6,
-0.008252174,6,
0.080691874,6,
0.020491304,4,
-0.021451091,4,
-0.02133539,4,
0.02271506,8,
-0.017229471,8,
-0.016146338,8,
0.06031402,8,
-0.0221069,4,
-0.0032703385,4,
0.0038206785,4,
0.020806715,4,
-0.035940163,12,
0.0038495213,12,
0.01583518,12,
-0.014568156,8,
-0.030166678,8,
0.020451628,4,
0.005040916,4,
-0.060513657,4,
-0.007710407,4,
0.07574958,5,
-0.0050374605,5,
-0.035774484,5,
0.0064322175,8,
0.013424943,8,
0.016577251,7,
-0.060518112,7,
0.09814598,5,
-0.010332513,5,
-0.073703006,3,
0.05548424,3,
0.0010179393,4,
-0.0019880952,4,
-0.03587005,4,
0.08320393,6,
-0.027517458,6,
-0.04240375,3,
0.025076251,3,
-0.011960139,3,
0.011954955,3,
-0.056348924,4,
0.08985386,4,
-0.08692558,4,
-0.005082918,9,
0.050142597,9,
-0.027046468,5,
0.01269284,5,
-0.04811343,5,
0.07884168,5,
-0.05553149,5,
0.028415041,5,
0.017460214,5,
-9.164577E-5,6,
0.018498223,6,
-0.06079225,6,
0.055247582,6,
-0.06281304,6,
0.0446077,6,
0.009776856,6,
0.0014194794,6,
0.019601628,6,
-0.060405333,6,
0.046827935,6,
-0.07785538,6,
0.06831206,6,
0.004111167,6,
-0.0034241227,6,
-0.027612958,4,
-0.018817889,4,
0.038598288,6,
-0.05551348,6,
0.050999645,6,
0.004011812,6,
-0.0073603718,6,
0.009070074,11,
-0.07294558,11,
0.06662176,6,
-0.045800555,6,
0.053353526,6,
-0.046615,6,
0.0541897,6,
-0.005471233,3,
-0.03349105,3,
0.037840266,9,
0.009605461,9,
-0.0034430632,11,
-0.02537199,11,
0.024461115,9,
-0.018438611,9,
-0.023120388,6,
0.04073857,6,
-0.019411625,6,
0.008082174,6,
-0.046674483,6,
0.049985692,11,
-0.025556277,11,
-0.012885635,12,
0.035791628,12,
0.01836451,3,
-0.03490408,3,
-0.031709306,3,
0.05386791,11,
-0.018574517,11,
-0.044650763,11,
0.05655661,11,
0.016955,11,
-0.02034955,11,
-0.036103185,11,
0.07127157,11,
-0.02403957,11,
-0.055594627,11,
0.036732875,11,
0.0297248,11,
-0.01764982,11,
-0.013715166,11,
0.03504597,11,
-0.020795947,11,
-0.055276226,11,
0.025511619,12,
0.041575946,12,
-0.017246218,12,
-0.016677337,12,
0.025627522,12,
-0.003176699,12,
-0.056335434,12,
0.031807598,12,
0.03375123,12,
-0.026783096,4,
-0.006309004,4,
0.0063550593,4,
0.013592151,8,
-0.047859896,8,
0.0151702,8,
0.04601329,8,
-0.016151786,8,
0.010340023,8,
0.01459361,8,
0.013033637,8,
-0.08388625,8,
0.02433451,8,
0.0606598,8,
-0.028514063,8,
0.00552832,8,
-0.048319586,8,
0.06628262,8,
-0.07957013,8,
0.049251463,8,
0.037331864,8,
-0.05035573,8,
-0.008459191,8,
-0.024063561,8,
0.0690613,8,
-0.08701191,8,
0.045422677,8,
0.057575744,8,
-0.07152597,8,
0.021761252,8,
-0.03342359,8,
0.061834514,8,
-0.07279625,8,
0.04799188,8,
0.04256119,8,
-0.056218732,8,
0.018266086,8,
-0.021805447,8,
0.040079642,8,
-0.068470694,8,
0.067231774,4,
0.029118966,4,
-0.075318135,4,
0.0352805,8,
-0.02870892,8,
0.036930256,8,
-0.075151525,8,
0.06280899,8,
0.035961296,8,
-0.07859207,4,
0.040191226,4,
-0.02365737,4,
0.026882716,6,
-0.05709751,6,
0.058963787,8,
0.019845264,8,
-0.07419373,4,
0.051081587,4,
-0.023367746,4,
0.015132252,4,
-0.043387596,4,
0.06188954,8,
0.011455323,8,
-0.034331013,4,
0.020152168,4,
0.020678848,4,
-0.016693154,4,
-0.031423934,8,
0.023373593,8,
