samples,frequencies,BPM
-3.6844393E-4,38,
0.0013861839,38,
0.018294198,38,
-0.008997435,23,
-0.0046186415,23,
-0.002393224,0,
-0.0012282793,0,
-6.227792E-4,0,
-3.0770118E-4,0,
-1.4534395E-4,0,
-5.7752124E-5,0,
-2.817825E-5,0,
-8.971849E-6,0,
-1.3291628E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
-2.7380753E-5,0,
0.032430377,8,
-0.09238166,8,
0.086926185,8,
0.013240853,8,
-0.03675733,5,
-0.036223408,5,
0.03777454,12,
-0.026541054,12,
0.030233536,12,
-0.018122403,12,
-0.02620285,12,
0.039260942,8,
0.0070491484,8,
-0.05422067,8,
0.04961359,8,
0.019842474,8,
-0.02806155,8,
0.021874364,8,
-0.02930166,8,
0.033025242,8,
-0.035592254,8,
-0.03910164,8,
0.0791755,8,
-0.037943278,8,
-0.05170244,8,
0.053506177,8,
-2.4456594E-5,8,
0.034798875,8,
-0.014827143,8,
-0.017188666,8,
0.06055639,8,
-0.060333025,8,
-0.032636926,8,
0.078900434,8,
-0.036483925,8,
-0.037737325,8,
0.037722502,8,
-4.2533207E-5,8,
0.021588195,8,
-0.048672877,8,
0.021552175,6,
0.041260336,6,
-0.054544188,6,
0.005356792,6,
0.042376965,6,
-0.019004835,6,
-0.03898062,6,
-0.010538068,6,
0.089380614,6,
-0.0056795124,6,
-0.06931424,6,
0.012193806,6,
0.038827635,6,
-0.049983032,6,
0.01613617,6,
0.031013753,6,
-0.012339482,6,
-0.013046065,6,
-0.031036085,6,
0.07146443,6,
-0.03179138,6,
-0.028313959,6,
0.034415413,6,
0.025298553,6,
-0.06188263,6,
0.025004143,6,
-5.4728275E-4,6,
0.021909919,6,
-0.020860545,6,
-0.053569645,6,
0.10719638,6,
-0.07009293,6,
-0.038780052,6,
0.07898297,12,
0.011735444,12,
-0.048159953,12,
0.034702115,12,
-0.011869823,12,
-0.0011434123,6,
-0.028818242,6,
-0.031143414,6,
0.10952567,6,
-0.06989894,6,
-0.037035726,6,
0.07494039,6,
-0.015640192,6,
-0.014590885,6,
0.020494094,6,
-0.0127749825,6,
-0.0046243565,6,
-0.02254353,6,
0.024060572,6,
0.054015446,6,
-0.107637264,6,
-0.022965606,6,
0.10385945,6,
-0.010178263,6,
-0.023439785,6,
0.0027521644,6,
0.020414079,6,
-0.019604087,6,
-0.0063116625,6,
0.022298899,6,
2.3911639E-4,6,
-0.06831338,6,
0.0040688333,6,
0.09959237,6,
-0.0247843,6,
-0.02645426,6,
-0.0072071194,6,
0.04354756,6,
-0.06654938,6,
0.0032103932,6,
0.085700095,6,
-0.04644819,6,
-0.05807451,6,
0.006242014,6,
0.071769275,6,
-0.01563853,6,
-0.0366185,6,
0.0020264415,6,
0.057745345,6,
-0.04028606,6,
0.018015273,6,
0.03678963,6,
-0.070341885,6,
-0.040375248,6,
0.015289691,6,
0.107460886,6,
-0.045893267,6,
-0.0890022,6,
0.061379008,6,
0.04850168,6,
-0.045837242,6,
0.04072176,6,
-0.006658308,6,
-0.082610525,6,
-0.028792523,6,
0.08433611,6,
0.051410288,6,
-0.0571857,6,
-0.07383247,6,
0.10018192,6,
0.026494667,6,
-0.06032392,6,
0.043665923,6,
-0.001474108,6,
-0.05896811,6,
-0.030827405,6,
0.068291984,6,
0.035134956,6,
-0.048720263,6,
-0.075251944,6,
0.10413744,6,
0.014232144,6,
-0.08059206,6,
0.06858846,6,
0.0021939161,6,
-0.09158842,6,
0.0138569875,6,
0.063530326,6,
0.053846978,6,
-0.065537296,6,
-0.07683152,6,
0.10270501,6,
-0.04065836,6,
-0.05277873,6,
0.10465841,6,
-0.025663143,6,
-0.092762135,6,
0.067990996,6,
0.04996183,6,
0.024046348,6,
-0.08220234,6,
-0.035971865,6,
0.1167615,6,
-0.06313211,6,
-0.032269813,6,
0.03225838,6,
-0.0048685903,6,
-0.042777043,6,
0.07324404,6,
0.0026245648,6,
0.0315518,6,
-0.11528453,6,
0.0014699876,6,
0.108019665,6,
-0.058783818,6,
0.0018352414,6,
-0.014739152,6,
3.679787E-4,6,
-0.04075665,6,
0.07713291,6,
0.04432419,6,
-0.017332615,6,
-0.09713103,6,
0.005896897,6,
0.09583277,6,
-0.057507623,6,
0.0071732923,6,
-0.026580796,6,
0.021219885,6,
-0.042654626,6,
0.062128127,6,
0.014760618,6,
-0.013481897,8,
-0.07042296,8,
0.027286781,8,
0.084806636,8,
-0.04937009,8,
0.006075736,8,
-0.016069112,8,
0.01806319,8,
-0.050144196,8,
0.033795424,8,
0.02179847,8,
-0.056102764,8,
-0.01785584,8,
0.07968038,8,
0.033677395,8,
-0.06286143,8,
0.01342368,8,
-0.013804884,8,
0.024725486,8,
-0.054669928,8,
0.03744697,8,
0.027872676,8,
-0.060092844,8,
0.011663603,8,
0.035589464,8,
-0.009439116,8,
0.009925257,8,
-0.04789771,8,
0.0054011857,8,
0.061942507,8,
-0.06823257,8,
0.043748397,8,
0.018381124,8,
-0.06328091,8,
0.02082765,8,
0.03599818,8,
-0.023320692,8,
0.032680657,8,
-0.081929795,8,
-4.578966E-4,8,
0.06355598,8,
-0.053159468,8,
