samples,frequencies,BPM
1.4260758E-4,44,
0.0129082035,44,
-0.00578348,23,
-0.0035473355,23,
-0.0016251275,0,
-7.295054E-4,0,
-3.120511E-4,0,
-1.3046486E-4,0,
-4.108562E-5,0,
-9.647635E-6,0,
0.0,0,
0.0,0,
5.544618E-8,0,
0.0,0,
0.0,0,
1.1089236E-7,0,
5.544618E-8,0,
5.544618E-8,253,
2.772309E-7,253,
3.8812325E-7,0,
0.0,0,
1.1089236E-7,0,
5.544618E-8,0,
2.2178472E-7,12,
-2.8222104E-5,12,
0.018021118,64,
-0.008492081,62,
-0.021877121,62,
0.009679683,11,
0.021521434,11,
-0.006860799,9,
-0.010108725,9,
-0.0038085426,9,
-0.0076240716,9,
0.0143277915,7,
-0.01136508,7,
0.042633064,7,
-0.07196182,7,
0.057206042,7,
-0.019425847,5,
-0.0028718903,5,
0.010498124,5,
-0.0070237,5,
0.010893732,7,
-0.036767747,7,
0.062202405,5,
-0.081124306,5,
0.08023123,5,
-0.03447344,5,
-0.00642344,5,
0.016314538,5,
-0.040197592,5,
0.042946335,5,
-0.0052543017,5,
0.025941493,5,
-0.065873384,5,
0.06103776,7,
-0.024107443,7,
-0.028269678,7,
0.046350844,7,
-0.05063811,6,
0.025990784,6,
-0.03496026,5,
0.061735827,5,
-0.024698056,5,
0.018588498,4,
-0.027639143,4,
-0.009529867,4,
0.03600985,4,
-0.055502344,4,
0.07497643,4,
-0.031117504,4,
0.040360328,4,
-0.07315225,5,
-0.0035813241,5,
0.04247987,5,
-0.02149371,5,
0.037583526,5,
-0.07355834,5,
0.07947239,5,
-0.054324225,4,
0.050332543,4,
-0.03306078,5,
4.0204026E-4,5,
0.036528055,5,
-0.06445302,5,
0.049559515,5,
-0.051084783,5,
0.08072465,5,
-0.06389124,5,
0.027276026,5,
-0.037058506,5,
0.012681761,5,
0.04897855,4,
-0.066894874,4,
0.04782089,4,
-0.05329315,4,
0.049788397,5,
-0.022082161,5,
0.03482863,5,
-0.018623818,5,
-0.01572692,5,
