samples,frequencies,BPM
2.5505242E-6,28,
0.01568506,28,
-0.007913057,23,
-0.0045137624,23,
-0.0019943991,0,
-8.937924E-4,0,
-3.900084E-4,0,
-1.6195829E-4,0,
-5.4669934E-5,0,
-1.8907147E-5,0,
-2.2178472E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,59,
0.0018504608,59,
-0.003003963,56,
0.01810778,56,
-0.015199461,58,
-0.0057079624,58,
-0.015839864,6,
0.043292876,6,
-0.03228365,8,
0.012288537,8,
-0.014813888,11,
0.004609906,8,
0.0032283538,8,
0.020075176,12,
-0.016675882,12,
0.010701944,12,
-0.009985968,12,
-0.02481416,11,
0.017958408,11,
0.0017197741,12,
0.0076562855,12,
-0.002283828,11,
0.01265864,11,
-0.03592552,11,
0.021740058,12,
0.005409551,12,
-0.008062928,12,
0.01373108,12,
-0.016046623,11,
0.0028461078,11,
-0.00892689,12,
0.023799883,12,
-0.013645139,12,
0.02295605,12,
-0.040106717,11,
0.018576633,11,
0.012323468,12,
-0.017502751,8,
-0.0046886397,8,
0.009173071,11,
-0.010688803,11,
-0.024583949,12,
0.052069284,12,
-0.04013699,12,
0.014831298,12,
0.0034952716,11,
0.018115154,11,
-0.008707822,12,
0.01859044,12,
-0.059147157,12,
0.04750468,11,
-0.011203954,11,
0.0018507935,12,
0.014898832,12,
-0.0061505893,12,
-0.040517185,12,
0.025820399,11,
0.008104457,11,
-0.03667138,12,
0.06647875,12,
-0.050826512,12,
0.02525884,12,
-0.028678427,8,
0.030623922,12,
-0.028661683,12,
0.023617022,12,
-0.0330477,12,
0.025406715,8,
-0.004425714,8,
0.0039194347,12,
0.014400205,12,
0.008234146,8,
-0.019087236,8,
-0.0029498476,8,
-0.0012154911,8,
-0.006139611,8,
0.023195965,8,
-0.012171102,8,
-0.032961033,8,
0.02208183,8,
-6.5659365E-4,12,
0.011047929,12,
-0.0065949904,8,
0.035733398,8,
-0.053221177,8,
0.04662663,8,
-0.030215673,8,
-0.0021457116,8,
0.011998054,8,
-0.01698882,8,
-0.02116752,8,
0.03932487,8,
-0.002566548,8,
-0.01376967,8,
0.04534289,8,
-0.036529053,12,
0.011350443,12,
-0.040639,8,
0.028928157,8,
-0.01702902,8,
0.02396833,8,
-0.034063082,12,
0.025656667,8,
-0.018328179,8,
0.007067669,12,
0.020719904,12,
-0.016414177,11,
0.012226714,11,
-0.017839642,11,
0.038336873,11,
-0.038007412,8,
0.047932222,8,
-0.044640716,12,
-0.020151692,12,
0.027022416,8,
0.007638432,12,
-0.024436738,12,
0.03638356,8,
-0.018144207,8,
-0.03817647,11,
0.056483854,11,
-0.021392688,8,
0.02129039,8,
9.355988E-4,8,
-0.012694181,8,
-0.025243092,8,
0.005844859,8,
-0.0063498626,12,
-0.00850184,8,
0.058651853,8,
-0.06370561,8,
0.04450138,8,
