samples,frequencies,BPM
9.287958E-6,102,
-2.3385754E-5,102,
-0.0041022925,102,
0.07204586,4,
-0.13641009,4,
0.09378947,4,
0.046417736,4,
-0.12088693,4,
0.07354985,4,
-0.016612343,4,
-0.016135838,4,
-0.031591002,4,
-0.016127545,4,
0.1259147,4,
-0.17009172,4,
0.061503865,4,
0.18698336,4,
-0.25647438,4,
0.0950873,4,
0.15430865,4,
-0.19057332,4,
0.05535673,4,
0.029986506,4,
-0.02648478,4,
-0.056832686,4,
-0.009804768,4,
0.11726048,4,
-0.16559319,4,
0.043939672,4,
0.21941194,4,
-0.28905454,4,
0.09771612,4,
0.2172412,4,
-0.26327914,4,
0.087124035,4,
0.09264092,4,
-0.097335815,4,
-0.052989792,4,
0.02551651,4,
0.080605716,4,
-0.18913718,4,
0.058841538,4,
0.24669282,4,
-0.33891162,4,
0.11101333,4,
0.26647586,4,
-0.3354129,4,
0.11386075,4,
0.18771943,4,
-0.21137603,4,
-0.004083882,4,
0.071833074,4,
0.0014384725,4,
-0.15421395,4,
0.062143076,4,
0.1990368,4,
-0.3212821,4,
0.12045736,4,
0.25753105,4,
-0.35778427,2,
0.11067216,2,
0.25319904,2,
-0.28749713,2,
0.0660815,2,
0.11637132,2,
-0.083947055,2,
-0.09779706,2,
0.080428414,2,
0.08727198,2,
-0.2339791,2,
0.11071064,2,
0.20202653,2,
-0.33855653,2,
0.13536188,2,
0.21424119,2,
-0.3079159,2,
0.11448587,4,
0.17153963,4,
-0.20025402,4,
0.023825107,4,
0.07433933,4,
-0.025107509,4,
-0.11101383,4,
0.08473886,4,
0.095403425,2,
-0.22832324,2,
0.09103095,2,
0.12662208,2,
-0.1369745,2,
0.058915842,55,
0.037591852,55,
-0.0668869,55,
-0.016337851,55,
0.054829143,55,
-0.025622658,55,
0.03029898,55,
-0.043458857,55,
0.07985455,55,
-0.059492193,55,
-0.055493895,55,
0.07659796,55,
-0.021486033,55,
-0.027578603,55,
0.022486977,55,
0.006777556,55,
0.0014210576,55,
-0.016088735,55,
-0.008178545,55,
0.056071572,55,
-0.03449929,55,
-0.009616189,55,
0.008232448,55,
0.033874843,55,
-0.031944938,55,
-0.006739575,55,
