samples,frequencies,BPM
0.0,213,
0.0,213,
-3.3075412E-7,213,
-6.482781E-5,213,
-7.0450624E-5,13,
-1.1686645E-4,13,
8.709858E-6,13,
-1.0264403E-4,13,
5.314116E-5,13,
-9.834422E-5,13,
7.695545E-5,13,
-8.764984E-5,13,
7.067113E-5,13,
-7.166339E-5,13,
5.7661466E-5,13,
-4.255703E-5,13,
3.6823956E-5,13,
-2.7121838E-5,13,
9.5918695E-6,13,
6.6150824E-7,13,
-1.8081224E-5,13,
3.2854907E-5,13,
-3.2854907E-5,13,
4.0682757E-5,13,
-4.1564766E-5,13,
4.751834E-5,13,
-4.0572504E-5,13,
4.4762055E-5,13,
-4.3659544E-5,13,
3.208315E-5,13,
-3.2854907E-5,13,
2.2050273E-5,13,
-1.3560919E-5,13,
1.0694383E-5,13,
-1.5435191E-6,13,
6.6150824E-7,13,
5.402317E-6,13,
-8.158601E-6,13,
1.2127651E-5,13,
-1.929399E-5,13,
1.6647957E-5,13,
-2.1940023E-5,13,
2.0065749E-5,13,
-2.1940023E-5,13,
1.6206952E-5,13,
-1.5545444E-5,13,
1.2458405E-5,13,
-4.961312E-6,13,
2.094776E-5,13,
-1.3230165E-6,13,
3.6382953E-6,13,
-6.1740766E-6,13,
-6.1740766E-6,13,
1.9845247E-6,13,
-1.03636285E-5,13,
6.0638254E-6,13,
-7.497093E-6,13,
8.489355E-6,13,
-7.6073447E-6,13,
5.1818142E-6,13,
-6.6150824E-6,13,
4.6305577E-6,13,
-7.2765906E-6,13,
6.1740766E-6,13,
-5.8433225E-6,13,
4.6305577E-6,13,
-3.4177924E-6,13,
1.212765E-6,13,
1.5435191E-6,13,
-2.7562842E-6,13,
4.189552E-6,13,
-5.953574E-6,13,
7.6073447E-6,13,
-5.5125684E-6,13,
8.268853E-6,13,
-5.1818142E-6,13,
8.930361E-6,13,
-5.1818142E-6,13,
7.938099E-6,13,
-7.717596E-6,13,
6.5048307E-6,13,
-6.3945795E-6,13,
6.3945795E-6,13,
-1.212765E-6,13,
3.0870383E-6,13,
4.4100548E-7,13,
-1.8742733E-6,13,
2.5357815E-6,13,
-5.62282E-6,13,
5.8433225E-6,13,
-7.386842E-6,13,
5.8433225E-6,13,
-7.497093E-6,13,
7.166339E-6,13,
-6.6150824E-6,13,
5.1818142E-6,13,
-5.7330712E-6,13,
3.6382953E-6,13,
-4.2998035E-6,13,
3.1972897E-6,13,
-1.3230165E-6,13,
4.520306E-6,13,
-1.6537706E-6,13,
8.268853E-6,13,
-5.402317E-6,13,
3.6382953E-6,13,
-4.6305577E-6,13,
4.961312E-6,13,
-6.9458365E-6,13,
3.5280439E-6,13,
-1.3891673E-5,13,
-4.2998035E-6,13,
-3.4177924E-6,13,
-1.7640219E-6,13,
1.686846E-5,13,
2.7562842E-6,13,
1.2678907E-5,13,
-7.717596E-6,13,
6.0638254E-6,13,
-5.62282E-6,13,
4.740809E-6,13,
-4.0793007E-6,13,
4.0793007E-6,13,
6.6150824E-7,13,
0.0,13,
4.740809E-6,13,
-4.6305577E-6,13,
6.7253336E-6,13,
-7.938099E-6,13,
5.953574E-6,13,
-8.930361E-6,13,
5.953574E-6,13,
-5.8433225E-6,13,
7.2765906E-6,13,
-6.835585E-6,13,
5.5125684E-6,13,
-5.5125684E-6,13,
5.8433225E-6,13,
-2.8665356E-6,13,
1.6537706E-6,13,
-5.5125685E-7,13,
-9.922624E-7,13,
2.646033E-6,13,
-4.189552E-6,13,
5.953574E-6,13,
-5.071563E-6,13,
5.402317E-6,13,
-5.62282E-6,13,
7.386842E-6,13,
-5.62282E-6,13,
7.497093E-6,13,
-5.1818142E-6,13,
8.158601E-6,13,
-5.292066E-6,13,
8.489355E-6,13,
-6.2843283E-6,13,
4.6305577E-6,13,
-3.0870383E-6,13,
0.0,13,
1.212765E-6,13,
-3.7485465E-6,13,
5.1818142E-6,13,
-6.0638254E-6,13,
6.7253336E-6,13,
-6.6150824E-6,13,
6.2843283E-6,13,
-7.717596E-6,13,
6.2843283E-6,13,
-6.2843283E-6,13,
6.7253336E-6,13,
-7.497093E-6,13,
6.7253336E-6,13,
-4.85106E-6,13,
1.7640219E-6,13,
5.5125685E-7,13,
-2.8665356E-6,13,
5.62282E-6,13,
-6.5048307E-6,13,
7.6073447E-6,13,
-5.62282E-6,13,
6.1740766E-6,13,
-6.7253336E-6,13,
6.5048307E-6,13,
-7.6073447E-6,13,
7.0560877E-6,13,
-6.7253336E-6,13,
4.85106E-6,13,
-3.5280439E-6,13,
0.0,13,
2.2050274E-7,13,
-3.858798E-6,13,
4.740809E-6,13,
-6.7253336E-6,13,
5.953574E-6,13,
-6.2843283E-6,13,
6.9458365E-6,13,
-6.1740766E-6,13,
6.6150824E-6,13,
-5.8433225E-6,13,
6.9458365E-6,13,
-6.1740766E-6,13,
7.386842E-6,13,
-5.7330712E-6,13,
4.6305577E-6,13,
-2.2050274E-6,13,
-1.1025137E-7,13,
2.646033E-6,13,
-3.4177924E-6,13,
6.835585E-6,13,
-5.953574E-6,13,
7.2765906E-6,13,
-6.2843283E-6,13,
7.717596E-6,13,
-6.1740766E-6,13,
7.827847E-6,13,
-6.6150824E-6,13,
6.7253336E-6,13,
-5.8433225E-6,13,
6.6150824E-6,13,
-4.6305577E-6,13,
2.3152788E-6,13,
-3.3075412E-7,13,
-1.9845247E-6,13,
3.5280439E-6,13,
-5.953574E-6,13,
7.166339E-6,13,
-6.6150824E-6,13,
7.717596E-6,13,
-7.166339E-6,13,
8.158601E-6,13,
-6.835585E-6,13,
7.0560877E-6,13,
-5.8433225E-6,13,
7.2765906E-6,13,
-4.4100548E-6,13,
3.858798E-6,13,
0.0,13,
-1.3230165E-6,13,
3.9690494E-6,13,
-5.5125684E-6,13,
7.2765906E-6,13,
-6.1740766E-6,13,
7.0560877E-6,13,
-6.3945795E-6,13,
7.2765906E-6,13,
-7.166339E-6,13,
8.04835E-6,13,
1.9183739E-5,13,
4.564407E-5,14,
-0.020253727,14,
0.008426953,14,
0.004654041,14,
5.62282E-4,14,
-0.018014744,14,
0.010488213,14,
-0.0057537984,14,
0.008225083,14,
0.008259592,14,
0.0047134664,14,
0.044888955,14,
-0.044547617,14,
0.036847662,14,
-0.037137955,14,
-0.025546124,14,
-0.013238874,14,
0.026656356,14,
0.0062523554,15,
0.01807913,15,
0.01976355,15,
-0.016392173,15,
-2.992222E-4,14,
-0.0094825,14,
-0.034195345,14,
0.0038440244,14,
-0.0036164655,14,
0.019585164,14,
0.011699434,14,
0.008194213,14,
0.019216593,14,
-0.016245319,14,
-0.0022978592,14,
-0.021411037,14,
-0.022625787,14,
0.0076748184,14,
0.012623892,14,
0.019809306,14,
0.002442178,14,
0.009511165,14,
-0.013852974,14,
3.3792044E-4,14,
-0.012945496,14,
-0.003016698,14,
9.879626E-4,14,
-0.004693401,14,
0.0062344945,14,
0.016896022,14,
-0.01605249,14,
0.018571954,14,
-0.010882802,14,
-0.017445294,14,
0.0132022705,14,
0.0071474863,14,
-0.003172042,14,
-0.0050779576,15,
-0.0030032473,15,
-0.011816852,15,
0.021757005,15,
-0.0030402918,14,
0.008014393,14,
-0.009020437,14,
0.015370585,14,
-0.016646745,14,
-0.00939893,14,
-0.0018947801,14,
0.0089082,14,
0.00905274,14,
8.566531E-5,14,
0.005817855,14,
-0.014276891,15,
-0.002029838,15,
-9.900573E-5,15,
-0.006809345,15,
0.006248607,14,
0.008229493,14,
0.0055165375,14,
-0.0047747665,14,
0.0071242233,14,
-0.00835077,14,
-0.010846861,14,
-0.0026603655,14,
0.010374213,14,
0.0016780258,14,
0.0045952774,14,
-0.005445646,14,
0.00464478,14,
-0.011108266,14,
0.009336527,14,
-0.0032499898,14,
0.0041401596,14,
0.003948763,14,
-0.009711713,14,
-0.0019345809,14,
-0.008562342,14,
0.006927204,14,
0.0021716212,14,
0.0013774806,14,
0.0056011006,14,
0.0052824738,14,
0.0017038247,14,
-0.0058003245,14,
-0.003352193,14,
-0.01257902,14,
0.0049799443,14,
0.0074739405,14,
-0.0014828809,14,
0.005044772,14,
-0.0020005112,14,
-0.003056168,14,
-0.012665678,14,
0.0058278874,15,
0.008500601,15,
0.0039376277,15,
0.007930051,14,
-0.008215711,14,
-0.014173254,14,
0.0013094555,14,
0.0044360743,14,
0.010465722,14,
0.0016668905,14,
-0.008010203,14,
-0.0065617207,14,
-0.001465792,14,
0.0067144185,14,
-0.0018818807,14,
0.005176853,14,
0.0040466664,14,
-1.8764783E-4,14,
-0.0065612798,14,
-0.0039407145,14,
-0.002020687,14,
-0.0071725133,14,
0.008030269,14,
0.005886982,14,
0.0058393534,14,
0.0050643967,14,
-0.0016490298,14,
-0.0074994084,14,
-0.007003608,14,
-0.005935162,29,
0.005875185,29,
0.0033793147,29,
0.004435964,29,
-7.499298E-4,29,
-0.011762388,29,
0.0032652046,29,
0.0013240087,29,
0.0070595057,15,
0.0044757645,15,
0.0025294973,15,
-9.116686E-4,14,
-0.008607876,14,
-0.003734214,14,
-0.0019850759,14,
0.0012979894,14,
0.0056256866,14,
-0.0014618229,14,
0.0040243957,14,
0.0018431824,14,
-0.0045603276,14,
-0.008126298,14,
-6.0638253E-5,15,
0.0064331675,15,
0.0022779035,15,
0.005751263,15,
-0.0026668704,14,
-0.009564747,14,
-6.0924905E-4,14,
7.6271896E-4,14,
0.0044597783,14,
-4.81578E-4,14,
0.010281381,14,
-7.4055843E-4,15,
-0.0022953232,15,
-0.0064665736,15,
-0.012801287,15,
0.001391262,14,
0.013796415,14,
0.0058692317,14,
-0.009291103,14,
0.0010147536,15,
0.004078088,15,
-0.0023063484,15,
-0.0034454656,14,
-0.003155284,14,
0.001031622,14,
0.0072192596,14,
0.0032595817,14,
-0.009409403,14,
-0.0039370763,14,
0.006573738,14,
0.001450908,1,
2.042958E-4,1,
0.0017518942,1,
0.0036662992,1,
-0.0053650523,14,
-0.007821453,14,
5.400112E-4,14,
0.00107021,1,
0.0030852742,1,
0.009560117,1,
-0.0013691016,1,
-0.0014268733,1,
-0.0025358917,1,
-9.566512E-4,1,
-0.01125005,1,
3.9933046E-4,0,
0.00967985,0,
0.001905254,0,
0.004312262,1,
0.0017385539,1,
-0.009601461,1,
-0.0071836486,1,
0.003531131,15,
0.0030504349,15,
-0.003209197,15,
0.0058625066,15,
0.0056283325,14,
-5.897346E-4,14,
-1.0374654E-4,14,
-0.0038649722,14,
-0.0055341776,14,
-8.125526E-5,14,
0.0068679987,14,
-0.0030538528,15,
-0.006297117,15,
0.0053197388,15,
0.0012156316,15,
-0.0024500058,14,
0.0032733632,14,
0.0012931384,14,
2.992222E-4,1,
-0.0021213465,1,
3.9260514E-4,1,
-0.0043931864,1,
0.0018663352,14,
0.0033201098,14,
2.547909E-4,14,
-0.003912821,14,
0.0038744537,15,
-3.1972897E-5,15,
-0.003973239,15,
-4.5743294E-4,15,
0.004660546,14,
-0.0031630015,14,
-3.790442E-4,14,
0.0021370023,14,
-7.683418E-4,14,
-0.0010806839,14,
0.007002395,14,
-8.336106E-4,14,
-0.0091806315,14,
7.060498E-4,14,
0.0021322614,14,
-0.0024019363,14,
3.1322415E-4,14,
0.0046980316,14,
0.002560588,14,
2.8301528E-4,14,
0.0029749128,14,
-0.011246743,14,
-0.0045550354,14,
0.0023233271,14,
0.004150854,14,
0.0040962794,14,
0.0017599426,14,
0.002016277,14,
-0.0032011485,14,
0.0011347071,14,
