samples,frequencies,BPM
-5.04145E-6,184,
1.5460446E-5,184,
2.7307853E-4,184,
0.0098926695,244,
0.016252626,244,
0.017104631,244,
0.009431545,327,
-0.010972212,327,
-0.03082225,327,
-0.026001278,0,
-0.013341693,0,
-0.001790891,0,
0.0055254293,0,
0.008220924,0,
0.0052249585,0,
0.0013953053,0,
-8.420902E-4,0,
-0.0013647205,1,
7.5974653E-4,1,
0.0019555783,1,
0.0032488783,0,
0.002736835,0,
0.0015201652,0,
9.861076E-4,160,
2.5812225E-4,160,
7.325227E-4,160,
0.0011978485,234,
0.002044308,234,
0.0031309086,234,
0.0026099586,163,
0.0021392552,163,
0.0024486321,160,
0.001780304,160,
0.0012785117,160,
-0.0010371943,308,
-0.0021957194,308,
-0.003577749,308,
-0.0027896024,160,
-4.273469E-4,160,
0.0012875863,160,
0.0020101941,158,
-1.8485316E-5,158,
-5.510305E-4,158,
-0.004551589,365,
-0.0090289,365,
-0.012391211,280,
-0.00673941,280,
4.377659E-4,280,
0.0024667815,0,
0.0038269646,0,
0.004993388,0,
0.0032831603,0,
0.002156228,0,
6.081669E-4,0,
-0.0020580878,0,
-0.0034130616,0,
-0.0026968396,0,
-0.0020559032,0,
-8.817496E-4,0,
4.62469E-4,0,
0.0012333067,0,
0.0041259225,0,
0.005609285,342,
0.004075676,342,
0.002389311,342,
0.0018201314,363,
0.0024810657,363,
0.002742885,363,
0.0027612022,401,
0.0026432322,401,
9.5451454E-4,401,
-3.4483516E-4,344,
-0.002034729,344,
-0.0038931756,344,
-0.005581053,0,
-0.005013386,0,
-0.0035038078,0,
-0.0022444534,0,
-4.7473653E-4,0,
0.002312513,276,
0.00584825,276,
0.009038984,276,
0.009727982,335,
0.009636059,335,
-0.0057985075,335,
-0.019704003,0,
-0.012568503,0,
-0.007937931,0,
-0.0063295406,0,
-0.0053236033,0,
-0.0010486216,0,
0.0012425494,0,
0.0016900621,0,
0.0026210498,0,
0.0032087148,0,
0.003591193,0,
0.003550189,0,
0.003994341,0,
0.0037108432,0,
0.0019034834,0,
0.001634102,0,
0.0028121208,0,
0.0024267859,0,
0.0025966829,0,
0.002211012,0,
0.003303326,302,
0.0030500772,302,
0.002896481,282,
0.002750279,282,
0.0025479489,282,
0.0018381126,276,
2.614832E-4,276,
-0.0012477589,276,
-0.003696055,0,
-0.006168046,0,
-0.007860125,0,
-0.006776549,0,
-0.003818226,0,
1.3393452E-4,0,
0.003554054,160,
0.004325396,160,
0.0057104505,317,
0.0040662657,317,
-0.0016577968,317,
-0.0068059573,336,
-0.006974342,336,
-0.0045047035,336,
-0.003800245,0,
-0.004853236,0,
-0.006077636,0,
-0.005402754,0,
-0.0046836752,0,
-0.0036488334,0,
-0.002541731,0,
-1.5914177E-4,0,
0.0026818833,0,
0.004537473,0,
0.00575784,0,
0.007446726,0,
0.0083175525,0,
0.00923476,0,
0.008798506,0,
0.009062175,0,
0.006880571,0,
0.006330549,302,
0.004467229,302,
0.0020952267,302,
-9.037639E-4,357,
-0.004492604,357,
-0.005277054,357,
-0.0052602487,0,
-0.0057348176,0,
-0.006088391,0,
-0.0061099012,0,
-0.00660682,0,
-0.0057632173,0,
-0.002722551,0,
0.0021989124,0,
0.007304221,0,
0.01095171,0,
0.011679695,0,
0.014211344,299,
0.011179919,299,
-0.030819224,299,
-0.03006452,0,
-0.020714479,0,
-0.016595613,0,
-0.013489744,0,
-0.0066710147,0,
0.0034233127,0,
0.010911042,0,
0.014559708,0,
0.015573711,0,
0.014414177,0,
0.011496859,0,
0.007833069,0,
0.004350771,0,
0.003035625,0,
0.0041412152,0,
0.0041568438,0,
0.0057949787,0,
0.0069723255,0,
0.0061564506,0,
0.004235154,275,
7.123569E-4,275,
-8.646087E-4,275,
-0.0023311665,278,
-0.0038104958,278,
-0.005160428,278,
-0.0046782973,0,
-0.0045028552,0,
-0.0062324083,0,
-0.0070082876,0,
-0.005795147,0,
-0.006741763,0,
-0.007065088,0,
-0.004614775,0,
-8.790608E-4,296,
-6.3925586E-4,296,
-0.0012990136,296,
-0.0011956639,338,
-7.747028E-4,338,
-7.452943E-4,338,
-0.0012591862,344,
-7.6025067E-4,344,
8.8023714E-4,344,
0.0016603175,344,
0.0021498422,344,
4.8649992E-4,344,
-1.3796768E-4,0,
0.0016243552,0,
0.0013332955,0,
0.0012618749,0,
0.0025546707,0,
0.0027867456,0,
0.0020053207,0,
7.3067413E-4,0,
0.0019564186,320,
0.0025124906,320,
0.00415113,320,
0.006080661,278,
0.008468964,278,
0.010024587,278,
0.008291504,353,
0.0045421785,353,
-1.8434902E-4,361,
-0.0037197499,361,
-0.0057764933,361,
-0.008002126,0,
-0.008291504,0,
-0.008011536,0,
-0.0067291595,0,
-0.0058984966,0,
-0.003776046,0,
0.001109119,0,
0.007354467,0,
0.011974116,0,
0.016147427,317,
0.013151126,317,
0.007353123,317,
-0.013022905,313,
-0.035279393,313,
-0.019424371,0,
-0.008458041,0,
-0.0033347511,0,
0.0012712856,0,
0.0042465813,0,
0.0065318705,0,
0.0070879427,0,
0.005889926,0,
0.0038256203,0,
0.0022313457,0,
0.0014857153,0,
0.0020486773,0,
0.0015917538,0,
0.0012092758,0,
4.0600478E-4,279,
-1.9241533E-4,279,
-1.6972881E-4,279,
-2.882029E-4,277,
8.015906E-5,277,
7.217676E-4,277,
4.8095433E-4,276,
-5.2431078E-5,276,
-0.0013948012,276,
-0.00316435,262,
-0.0042166687,262,
-0.005190677,262,
-0.0054148533,0,
-0.0030927616,0,
8.385612E-5,0,
0.0030016792,0,
0.0038101599,0,
0.004547892,254,
0.0042998525,254,
0.003773021,254,
0.0029677337,245,
0.0012190226,245,
-1.3880793E-4,245,
-0.0012588501,278,
-0.0023511641,278,
-9.7266375E-4,278,
0.0027697727,336,
0.0050160745,336,
0.0034535613,336,
0.0015663785,336,
4.339008E-4,336,
-0.001589233,0,
-0.0043480825,0,
-0.0056812097,0,
-0.004791058,0,
-0.0038711615,0,
-0.0030272226,0,
-8.1839535E-5,0,
0.0024844266,0,
0.0041313004,0,
0.0045369687,304,
0.004940453,304,
0.0049219676,304,
0.00430523,362,
0.0029687418,362,
0.0021915182,273,
-3.369369E-4,273,
-5.1137106E-4,273,
-5.73717E-4,370,
-2.7946438E-4,370,
-7.584021E-4,370,
-8.335197E-5,0,
-0.0021234588,0,
-0.0049562496,0,
-0.007232968,0,
-0.007819961,0,
-0.0034468393,0,
0.0040600477,159,
0.011456191,159,
0.016070966,354,
0.024724111,354,
-0.007388581,354,
-0.02589776,0,
-0.0151167875,0,
-0.013580826,0,
-0.020308305,0,
-0.018547999,0,
-0.012556908,0,
-0.0038919994,0,
0.0032557684,0,
0.00878876,0,
0.010589061,0,
0.009401296,0,
0.007283887,0,
0.0053748577,0,
0.005061784,0,
0.0033216432,0,
0.003223167,0,
0.0035199404,0,
0.0036342132,279,
0.0045178114,279,
0.0043200185,279,
0.0039582103,282,
0.003726976,282,
0.0025071132,282,
0.0031342695,317,
0.001654772,317,
0.0021108552,317,
0.002587272,352,
0.0017324103,352,
0.0014401742,160,
9.6375716E-4,160,
8.2310074E-4,160,
5.8245554E-4,234,
7.619311E-4,234,
8.951935E-4,234,
6.5202755E-4,239,
-4.738963E-5,239,
-0.0016213303,239,
-0.0047161086,338,
-0.008459889,338,
-0.013191458,338,
-0.007732912,388,
-0.0024815698,388,
-0.0022016012,0,
-0.0015139474,0,
-0.0013519488,0,
-0.0018885272,0,
-0.0023622555,0,
-0.002753472,0,
-0.0016737614,0,
-0.0010825674,0,
-2.4249374E-4,0,
5.505263E-4,0,
0.0017603063,0,
0.0026718003,0,
0.0023859502,0,
0.0032167812,0,
0.004835927,0,
0.0062843356,275,
0.0049668364,275,
0.0066426145,275,
0.005549964,275,
0.0054723257,275,
0.0035145627,282,
4.4885708E-4,282,
-0.0011519713,282,
-0.002215045,0,
-0.004637798,0,
-0.0057277596,0,
-0.0054945084,0,
-0.004456138,0,
-0.0032450133,0,
4.9742306E-5,158,
0.0043803477,158,
0.0075446977,300,
0.010942971,300,
0.009709832,300,
0.010976749,338,
-0.005132028,338,
-0.024476407,338,
-0.020768758,0,
-0.010146254,0,
-0.0064345705,0,
-0.00534713,363,
-0.0016604855,363,
0.0020036402,363,
0.00424322,0,
0.0061208243,0,
0.006942581,0,
0.0050542215,0,
0.003049741,0,
0.0026348298,0,
0.0022649553,0,
0.0032028332,0,
0.0025198848,159,
0.00155075,159,
2.3762035E-4,159,
5.169167E-4,255,
4.523861E-4,255,
9.948461E-4,255,
0.0014280747,279,
0.0020602725,279,
0.001425218,279,
9.409026E-4,352,
7.325227E-4,352,
-4.984313E-4,0,
-0.003511538,0,
-0.005358221,0,
-0.0055343355,1,
-0.0033614708,1,
-9.4980915E-4,1,
0.0017792957,276,
0.003796884,276,
0.0043653916,276,
0.004238851,300,
4.5104173E-4,300,
-0.002353853,300,
-0.012395749,344,
-0.01164222,344,
-7.947006E-4,0,
0.005340576,0,
0.0044527766,0,
0.0025998757,0,
0.0021355583,0,
0.0011289486,0,
-3.5895125E-4,0,
1.2435576E-4,0,
-7.604187E-4,0,
-0.0015492375,0,
-6.091752E-4,0,
-8.152025E-4,0,
-3.1727526E-4,187,
-8.90152E-4,187,
-3.6970632E-6,257,
0.0022587376,257,
0.0033266847,257,
0.0034925486,255,
0.003042179,255,
0.0048692003,255,
0.0065564057,396,
0.004922472,396,
0.0026544915,396,
5.448127E-4,0,
-0.0023486435,0,
-0.004412109,0,
-0.0057013757,0,
-0.007025933,0,
-0.00907982,0,
-0.007461178,0,
-0.0054019135,0,
-0.0030688986,0,
0.001422193,0,
0.010541168,0,
0.0228376,364,
0.024492372,364,
0.020420393,364,
-0.009314919,0,
-0.039948616,0,
-0.027134093,0,
-0.020386111,0,
-0.015276098,0,
-0.0063923905,0,
-0.002124131,0,
0.0021446329,0,
0.00566743,0,
0.007818953,0,
0.009347521,0,
0.008634156,0,
0.006943253,0,
0.0067222696,0,
0.006272236,234,
0.004651242,234,
0.002625251,234,
0.0028284215,314,
0.0024590513,314,
8.755318E-4,314,
5.779182E-4,277,
0.0010887851,277,
5.5539975E-4,277,
7.518482E-4,277,
0.0015173084,277,
0.001213477,348,
9.237617E-4,348,
2.2568891E-4,348,
2.2636111E-4,348,
-3.7357144E-4,348,
-0.0016282203,348,
-0.001692919,271,
-0.0015147877,271,
8.874632E-4,271,
6.073267E-4,300,
-1.8132415E-4,300,
-0.0017371156,300,
-0.004418831,279,
-0.007478151,279,
-0.010230446,232,
-0.0055719786,232,
0.0011536517,232,
0.002249663,344,
0.0012818726,344,
0.0012825449,344,
0.0016588051,318,
5.9203425E-4,318,
-8.7603595E-4,318,
-6.300132E-4,0,
-9.80226E-4,0,
-8.4898015E-4,0,
-0.0012047385,0,
-0.001328254,0,
3.4786004E-5,186,
0.0010158522,186,
0.0030495732,186,
0.0047755977,274,
0.0041667586,274,
0.0041400385,274,
8.6528086E-4,268,
0.0015389866,268,
0.0015683951,268,
2.6450807E-4,362,
6.2598E-4,362,
0.0019424707,362,
0.0011234031,0,
2.4854348E-4,0,
-0.002427122,0,
-0.005854468,0,
-0.007788368,0,
-0.00763578,1,
-0.005218741,1,
4.6448558E-4,1,
0.006877546,302,
0.01150879,302,
0.015424148,302,
0.016844997,345,
0.019432269,345,
-0.01594577,345,
-0.028333789,0,
-0.014691457,0,
-0.009960561,0,
-0.011349144,0,
-0.008582733,0,
-0.0028445541,0,
0.0013867349,0,
0.0044287457,0,
0.006786968,0,
0.0069892984,0,
0.007103235,0,
0.0057766614,0,
