samples,frequencies,BPM
3.1604322E-6,49,
-8.8159424E-5,49,
-3.7265377E-4,44,
0.0070457123,44,
-0.002149482,43,
-0.004051674,43,
0.002721964,64,
-0.009144738,64,
0.012273123,45,
-0.012070966,45,
0.0082094725,39,
-0.021862373,39,
0.017433664,45,
0.026516858,39,
0.0014801357,39,
-0.038786765,64,
0.011117347,64,
-0.029031342,6,
0.025468592,6,
-0.003292616,64,
0.03206846,64,
-0.018965088,3,
-0.041861087,3,
0.013661273,39,
0.041296978,39,
-0.030347135,39,
0.008331288,58,
0.034433186,58,
-0.044970233,3,
7.8838924E-4,3,
-0.008905821,3,
0.0021779814,3,
0.0045678224,6,
-0.0021240322,6,
0.045889586,6,
-0.02944497,6,
0.013416755,46,
-0.026507266,46,
-0.024462465,46,
0.011059683,62,
0.026490077,62,
0.0037228228,61,
-0.010920513,61,
0.007994119,77,
-0.02007429,77,
0.012219285,61,
0.0070961127,61,
0.008847603,76,
-0.010682261,76,
-0.005631114,77,
0.0033948033,77,
-0.005480855,46,
0.0062009897,46,
0.012059433,46,
-0.0057437806,61,
-0.02796855,61,
0.01493332,61,
0.0112258,61,
0.0027548987,48,
-0.007789412,48,
-0.012049176,48,
0.006972856,48,
0.005475754,48,
-0.005371404,48,
0.0026005367,48,
0.017859215,61,
0.0031510063,61,
-0.021324212,46,
6.097971E-4,46,
-0.0086095715,48,
0.007815527,48,
0.0014844051,61,
0.0016439792,61,
1.4953835E-4,46,
-0.009242657,46,
0.005154055,61,
0.0038913237,61,
-0.0021571335,62,
-0.001766349,46,
0.012846159,46,
-0.003401013,62,
-0.008252332,62,
-0.0075302566,61,
-0.0028854746,61,
0.011019373,62,
0.009795122,62,
-0.0057376814,61,
-0.0011164643,61,
0.0048835888,61,
-2.4490576E-4,61,
-0.0055653546,61,
-0.007906847,61,
0.0017808758,61,
0.013013384,31,
-0.00950231,31,
-0.0075644115,61,
0.008267302,61,
0.0041223126,45,
0.005232733,45,
-0.0084195575,46,
0.0041507008,46,
-0.010977956,70,
-6.8010285E-4,70,
0.004487758,51,
0.001496825,70,
0.002752293,70,
0.0017210494,69,
-0.0027525702,69,
-0.0016392109,52,
-0.0015547109,52,
0.0020916515,34,
-0.0072289617,34,
0.0015099103,34,
0.0020095913,34,
0.0030711084,34,
0.0047107628,34,
-5.065563E-4,34,
-0.010677437,34,
0.0046584215,34,
0.009797118,52,
-0.0043631154,52,
3.6300614E-4,34,
3.359484E-4,34,
-0.0040866607,34,
0.0077083497,34,
0.007303426,69,
-0.010035425,69,
-0.007944107,51,
0.008099688,51,
-0.0056189713,34,
0.005776549,34,
-0.0015203343,34,
-0.008310551,34,
0.008810896,34,
0.004708711,69,
7.743059E-4,69,
-0.006950345,51,
-0.0025658829,51,
1.10282446E-4,69,
-0.0014817992,69,
9.708626E-5,51,
0.008668789,51,
-0.004873442,51,
-0.0017892482,34,
-0.0033590405,34,
0.005710236,51,
-0.003127331,51,
0.0011288841,52,
1.9489332E-4,52,
-7.887219E-4,51,
0.0014562384,51,
0.001580826,51,
5.3633086E-4,51,
-1.4105508E-4,52,
-2.7534572E-4,52,
-0.0045033386,51,
0.007373122,51,
-0.005230238,51,
-0.001166643,46,
0.0036483032,46,
2.4035918E-4,46,
-0.005473702,46,
0.0036276772,61,
-0.0021403888,61,
0.0047805696,62,
-0.00841856,62,
0.0070899585,61,
0.009736681,61,
-0.012914746,46,
0.010563661,62,
-0.0073924726,62,
-0.0022958599,77,
0.0057246517,77,
-0.0023460942,61,
-0.0071961377,61,
-0.0061218683,46,
