samples,frequencies,BPM
-8.22133E-7,29,
2.676865E-4,29,
-2.6308255E-6,29,
-3.969258E-4,29,
0.0015918139,29,
0.09134489,29,
-0.047470454,3,
0.040490873,3,
-0.06501296,3,
0.02301989,3,
-0.013012392,3,
0.01979318,3,
-0.038314193,3,
0.01702884,3,
0.0012014651,3,
-0.009043299,3,
-0.0122501105,3,
5.1268213E-4,3,
0.018339157,3,
-0.02850072,3,
9.359162E-4,3,
-0.00856531,3,
0.02953184,3,
-0.043573707,3,
0.012357974,3,
-0.013050703,3,
0.04589344,3,
-0.0765317,3,
0.06027764,3,
-0.043718733,3,
0.062247306,3,
-0.08921261,3,
0.08114239,3,
-0.07559332,3,
0.10211517,3,
-0.11907117,3,
0.10770041,3,
-0.11088223,3,
0.13020992,3,
-0.1275832,3,
0.11535677,3,
-0.117219396,3,
0.13224782,3,
-0.1099935,3,
0.109667115,3,
-0.12252429,3,
0.13634336,3,
-0.09747505,3,
0.09627539,3,
-0.10542623,3,
0.10208607,3,
-0.0650271,3,
0.060720276,3,
-0.07579458,3,
0.05858158,3,
-0.022498328,3,
0.034418106,3,
-0.07000742,3,
0.042468924,3,
0.0059614507,3,
-0.0030116376,3,
-0.039166253,3,
0.005688338,3,
0.036062863,3,
-0.025645781,3,
-0.008674819,3,
-0.03585026,3,
0.07306855,3,
-0.055245366,3,
0.035476353,3,
-0.08128232,3,
0.119646825,3,
-0.11018391,3,
0.08487142,3,
-0.10508784,3,
0.14026839,3,
-0.15282531,3,
0.1260639,3,
-0.124904856,3,
0.16434109,3,
-0.18189594,3,
0.1517582,3,
-0.13926457,3,
0.16699938,3,
-0.17536952,3,
0.1604113,3,
-0.14002684,3,
0.15248989,3,
-0.15484546,3,
0.14367333,3,
-0.1239211,3,
0.12874554,3,
-0.12067663,3,
0.11004727,3,
-0.09740237,3,
0.10152093,3,
-0.08886222,3,
0.08366979,3,
-0.08410914,3,
0.0830481,3,
-0.050347753,3,
0.05046581,3,
-0.071182415,3,
0.053400498,3,
5.853587E-4,3,
0.005812645,3,
-0.056192134,3,
0.023141399,3,
0.04701647,3,
-0.046930477,3,
-0.022678867,3,
-0.016728433,3,
0.103739046,3,
-0.11183558,3,
0.04336982,3,
-0.07242104,3,
0.1562051,3,
-0.16440703,3,
0.097776115,3,
-0.11162412,3,
0.18502729,3,
-0.19848116,3,
0.13435331,3,
-0.13724063,3,
0.2518695,3,
-0.234558,3,
0.15614788,3,
-0.15460655,3,
0.17758648,3,
-0.17345017,3,
0.15647987,3,
-0.14954434,3,
0.14812222,3,
-0.13615641,3,
0.15039213,3,
-0.14775194,3,
0.11931172,3,
-0.094391555,3,
0.12964167,3,
-0.14975153,3,
0.09952479,3,
-0.05405245,3,
0.09786836,3,
-0.13294138,3,
0.08922445,3,
-0.030095166,3,
