samples,frequencies,BPM
-2.42553E-6,46,
-4.2336527E-5,46,
-7.693341E-4,46,
0.040887825,46,
-0.010769795,23,
-0.010693942,23,
-0.00703062,23,
-0.004658341,23,
-0.0031174677,0,
-0.0020935633,0,
-0.0014049332,0,
-9.4386196E-4,0,
-6.196127E-4,0,
-4.0748907E-4,0,
-2.6294953E-4,0,
-1.7761496E-4,0,
-1.0529006E-4,0,
-6.0638253E-5,0,
-3.5611192E-5,0,
-2.7783346E-5,0,
-7.497093E-6,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
1.1025137E-7,0,
-1.5435191E-6,3,
-4.4100548E-7,3,
-2.8389727E-4,3,
0.004526811,3,
-0.0111918375,2,
0.010779497,2,
0.0021319308,2,
-0.014685703,2,
0.012461602,2,
-0.0017217956,2,
-0.006602293,2,
0.017304063,3,
-0.005070791,3,
-0.024853967,3,
0.050056547,3,
-0.016768351,3,
-0.022329982,3,
0.019487701,3,
0.01199557,2,
-0.047807973,2,
0.03801644,2,
0.012703383,2,
-0.06814681,3,
0.03568826,3,
0.03187709,3,
-0.07179503,3,
-0.0012879565,5,
0.09749936,5,
-0.087595925,5,
0.011369231,5,
0.067160286,5,
-0.06993134,5,
0.00489924,5,
0.0540654,5,
-0.07081567,5,
0.001956631,5,
0.04625927,5,
-0.01402188,5,
-0.078818485,5,
0.066994905,5,
0.084429614,5,
-0.13591623,5,
0.06255255,5,
0.11616393,5,
-0.15523922,5,
0.08657445,5,
0.05971104,5,
-0.16386265,5,
0.082734175,5,
0.029661257,5,
-0.1100592,5,
0.058630466,5,
0.041444372,5,
-0.040679008,5,
-0.041214276,5,
0.06943367,5,
0.017778585,5,
-0.12928362,5,
0.097297385,5,
0.059840694,5,
-0.15773124,5,
0.09955412,5,
0.081743784,5,
-0.16798846,5,
0.059699465,5,
0.08124335,5,
-0.11653184,5,
-0.03327728,5,
0.11977455,5,
-0.03708746,5,
-0.13356458,5,
0.16641927,5,
0.0387011,5,
