samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.7379892E-4,16,
8.6636376E-4,16,
0.0015881965,16,
0.06704363,16,
-0.01245959,23,
-0.012509411,23,
-0.010089709,23,
-0.00746579,23,
-0.005669429,23,
-0.004330997,0,
-0.0033130315,0,
-0.002550421,0,
-0.0019395762,0,
-0.0014893762,0,
-0.0011384898,0,
-8.7376294E-4,0,
-6.557333E-4,0,
-5.0002127E-4,0,
-3.7308395E-4,0,
-2.8412917E-4,0,
-2.1030162E-4,0,
-1.5045035E-4,0,
-1.16742885E-4,0,
-8.8790366E-5,0,
-3.09122E-5,0,
-2.7788095E-5,0,
-3.5680572E-5,0,
-2.5979403E-5,0,
-1.6607086E-5,0,
-3.7818118E-6,0,
-1.644266E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
1.644266E-7,0,
-1.1509862E-6,0,
6.286029E-4,0,
0.007578586,0,
-0.009500405,3,
-0.007446881,3,
0.008008891,3,
0.017857386,3,
-0.031878207,3,
0.012761806,3,
0.0056051384,3,
0.021557808,3,
-0.05741678,3,
0.036041323,3,
0.025096597,3,
-0.02175479,3,
-0.05092374,3,
0.05228026,3,
0.029088546,3,
-0.07384761,3,
0.017503375,1,
0.029426279,1,
0.051614333,1,
-0.13443075,1,
0.0685409,1,
0.055262137,1,
-0.039996278,3,
-0.058901556,3,
0.039657064,3,
0.06162002,3,
-0.091603704,3,
0.013065173,1,
0.040588543,1,
0.052885678,1,
-0.15131918,1,
0.074338585,1,
0.0713105,1,
-0.04749232,3,
-0.080984704,3,
0.059175983,3,
0.084682986,3,
-0.13773687,3,
0.04298884,9,
0.036766116,9,
0.039512206,9,
-0.14266129,9,
0.071049556,9,
0.085584536,9,
-0.080536805,3,
-0.06255544,3,
0.08528742,3,
0.05560809,3,
-0.14734876,3,
0.09422499,3,
0.0070007914,3,
0.017536426,3,
-0.12563163,3,
0.07428383,3,
0.07869211,3,
-0.10590306,3,
-0.019057373,3,
0.08377716,3,
0.04459578,3,
-0.15800376,3,
