samples,frequencies,BPM
-3.288532E-7,27,
-2.065198E-4,27,
-2.6867306E-4,27,
0.0014074917,27,
0.0013897336,27,
0.06382547,27,
-0.01289269,23,
-0.012112979,23,
-0.009005809,23,
-0.0070589986,23,
-0.005391219,23,
-0.004149305,0,
-0.0031847788,0,
-0.0024290741,0,
-0.0018606514,0,
-0.0014227834,0,
-0.001094259,0,
-8.23284E-4,0,
-6.2893174E-4,0,
-4.7798813E-4,0,
-3.6288952E-4,0,
-2.7163274E-4,0,
-1.8645977E-4,0,
-1.5012149E-4,0,
-9.503857E-5,0,
-9.421644E-5,0,
-4.258649E-5,0,
-2.4170711E-5,0,
-3.2063188E-5,0,
-2.3513005E-5,0,
-1.3647408E-5,0,
-3.288532E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,3,
0.0,3,
0.0,3,
4.110665E-6,3,
2.237846E-4,3,
-0.00466988,3,
8.346294E-4,2,
0.006858727,2,
0.0035925568,2,
-0.018946877,2,
0.010652706,2,
0.021297684,3,
-0.045990285,3,
0.030457726,3,
0.017574737,3,
-0.039343998,3,
0.021171898,3,
0.036588866,2,
-0.03298776,2,
-0.048973475,2,
0.065842494,2,
0.053126726,2,
-0.16253997,2,
0.07298979,2,
0.11041888,2,
-0.20786433,2,
0.11556461,2,
0.08835266,2,
-0.15031305,2,
0.029389774,2,
0.0949585,2,
-0.031870645,2,
-0.14171584,2,
0.10836141,2,
0.13904029,2,
-0.2787802,2,
0.111799896,2,
0.15881127,2,
-0.2793567,2,
0.15377143,3,
0.120191075,3,
-0.19838282,3,
0.054996587,3,
0.07938779,3,
-0.03363527,2,
-0.13088292,2,
0.09517817,2,
0.14512374,2,
-0.27534303,2,
0.13479002,2,
0.13413511,2,
-0.3034968,2,
0.18440378,2,
0.12465312,2,
-0.2274227,2,
0.09334367,2,
0.064597294,2,
-0.070558906,2,
-0.034218162,2,
0.08692379,2,
0.08924566,2,
-0.28016812,2,
0.1633958,2,
0.14235891,2,
-0.34935606,2,
0.20342185,2,
0.12182071,2,
-0.28023225,2,
0.15583251,2,
0.086206235,2,
-0.1321684,2,
-0.0789371,2,
0.15681101,2,
0.058879193,2,
-0.2741562,2,
0.20907599,2,
0.12545027,2,
-0.38024557,3,
0.23685159,3,
0.119856305,3,
-0.31189522,3,
0.20590355,3,
0.062796,3,
-0.17580771,2,
0.009107425,2,
0.124252416,2,
0.008125798,2,
-0.22079681,2,
0.20316961,2,
0.11040802,2,
-0.36282966,2,
0.246621,2,
0.074187964,2,
-0.3052685,2,
0.2400117,2,
0.057752706,2,
-0.20214967,2,
0.044018973,2,
0.1097074,2,
