samples,frequencies,BPM
-1.14661425E-5,16,
-2.9194562E-4,16,
0.0010318425,16,
0.04293023,16,
-0.009918324,23,
-0.01081136,23,
-0.0069353627,23,
-0.0047567952,23,
-0.0031644348,0,
-0.0021368922,0,
-0.0014304012,0,
-9.4573625E-4,0,
-6.3648116E-4,0,
-4.1564766E-4,0,
-2.7232087E-4,0,
-1.7552018E-4,0,
-1.0385679E-4,0,
-6.526881E-5,0,
-3.3516415E-5,0,
-2.7673093E-5,0,
-1.7419716E-5,0,
9.922624E-7,0,
4.4100548E-7,0,
0.0,0,
1.212765E-6,0,
0.0,0,
0.0,0,
0.0,0,
6.6150824E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,240,
0.0,240,
1.1025137E-7,240,
0.0,240,
-7.717596E-7,5,
-1.6405404E-4,5,
0.007686064,5,
-0.011737581,5,
0.01801408,4,
-0.021413352,4,
0.021994047,4,
-0.022779698,2,
0.025565198,2,
-0.030851642,2,
0.06174286,2,
-0.06651829,2,
0.07931065,2,
-0.07043508,2,
0.07206173,2,
-0.06700836,2,
0.0608474,2,
-0.054267157,2,
0.038985655,2,
-0.04514617,2,
0.016531201,2,
-0.021922823,2,
-0.00697814,2,
0.008768402,2,
-0.041124865,2,
0.04704823,2,
-0.07351815,2,
0.094845064,2,
-0.10278978,2,
0.113704115,4,
-0.12786789,4,
0.15910254,4,
-0.15813178,4,
0.17666426,4,
-0.16886882,4,
0.17262189,4,
-0.16750877,4,
0.16186886,4,
-0.1577749,4,
0.15901016,4,
-0.1298243,2,
0.1385325,2,
-0.09995919,2,
0.09782946,2,
-0.062255863,2,
0.05845307,2,
-0.04688142,2,
0.022988845,2,
-0.02603575,2,
-0.027077185,2,
0.017069118,2,
-0.06862012,2,
0.07235588,2,
-0.09679938,2,
0.09382491,2,
-0.11546825,2,
0.12146228,2,
-0.13636242,2,
0.14353074,2,
-0.16371171,2,
0.17061356,2,
-0.15589665,2,
0.18412574,2,
-0.1707475,2,
0.1760957,2,
-0.15755837,2,
0.1528665,2,
-0.13221984,2,
0.12067685,2,
-0.10242275,2,
0.09753266,2,
-0.07088028,2,
0.07239006,2,
-0.04668881,2,
0.04065828,2,
-0.022181915,2,
0.010027252,2,
-9.99098E-4,2,
-0.027770886,2,
0.03170168,2,
-0.0605484,2,
0.048941355,4,
-0.08516014,4,
0.078576595,4,
-0.0949186,4,
0.09556071,4,
-0.108773895,4,
0.101718575,4,
-0.09675705,4,
0.110125355,4,
-0.11615996,4,
0.11178563,4,
-0.11809708,4,
0.1261181,4,
-0.11979727,4,
0.12346478,4,
-0.10406351,4,
0.105569765,4,
-0.0667582,4,
0.074846566,4,
-0.057869732,4,
0.059602883,4,
-0.033260964,4,
0.024303481,4,
-0.017900633,4,
0.0012237902,4,
-5.62282E-6,4,
0.008744918,4,
0.010825582,4,
-0.043529667,4,
0.03830827,4,
-0.05331183,4,
0.042375557,4,
-0.06186601,4,
0.047275238,4,
-0.056927964,4,
0.0549656,4,
-0.061125565,4,
0.059415676,4,
-0.056381337,4,
0.059603214,4,
-0.06375285,4,
0.061647937,4,
-0.06705566,4,
0.07336292,4,
-0.07485583,4,
0.07267969,4,
-0.06697286,4,
0.08737278,4,
-0.051421348,4,
0.068276025,4,
-0.049662508,4,
0.050951347,4,
-0.04088562,4,
0.027037496,4,
-0.03463635,4,
8.455178E-4,4,
0.0011284228,4,
-0.014580524,4,
0.020445455,4,
-0.030598614,9,
0.031008087,9,
-0.020116024,9,
0.019891663,9,
-0.030238533,9,
0.023283435,9,
-0.016797788,9,
0.012878463,9,
-0.018178908,9,
0.011625456,9,
-0.01876335,9,
0.029532705,9,
-0.042318996,9,
0.038172223,9,
-0.042600136,9,
0.056901835,9,
-0.046577126,9,
0.055600427,9,
-0.048945766,9,
0.0560927,8,
-0.042041935,8,
0.041108437,8,
-0.03593401,2,
0.031002134,2,
-0.028769875,2,
0.022826334,2,
-0.027569348,4,
0.020912701,4,
-0.022593262,4,
0.023879565,4,
-0.019277563,4,
0.0109749725,4,
-0.008252646,4,
0.0015805636,9,
-0.001993014,9,
-0.004561099,9,
