samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.7379892E-4,16,
8.6669263E-4,16,
0.0015881965,16,
0.067043796,16,
-0.012460248,23,
-0.012506451,23,
-0.010093984,23,
-0.0074577327,23,
-0.005670909,23,
-0.0043199803,0,
-0.0033199375,0,
-0.0025356226,0,
-0.0019494417,0,
-0.0014841144,0,
-0.0011355301,0,
-8.673503E-4,0,
-6.568843E-4,0,
-5.051185E-4,0,
-3.7176855E-4,0,
-2.8511573E-4,0,
-2.0997277E-4,0,
-1.5505428E-4,0,
-1.0227335E-4,0,
-9.487415E-5,0,
-4.209321E-5,0,
-3.0090068E-5,0,
-3.239204E-5,0,
-2.6472682E-5,0,
-2.2033164E-5,0,
-2.466399E-6,0,
-1.644266E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,3,
3.288532E-7,3,
1.644266E-7,3,
1.5160133E-4,3,
-0.002435158,3,
0.0031808326,2,
7.802042E-4,2,
-0.012643583,2,
0.023980305,2,
-0.017238814,2,
0.002284872,2,
0.008942998,2,
-0.018297393,2,
0.015759962,2,
-0.0040416056,2,
-8.0519705E-4,2,
-6.434013E-4,9,
-0.013012556,9,
0.023360744,9,
-0.0060994048,9,
-0.0057080695,9,
0.031515975,9,
-0.05977433,2,
0.046032377,2,
-4.4230757E-5,2,
-0.04309243,2,
0.042203706,2,
-0.0524779,2,
0.04879195,2,
-0.0017621599,2,
-0.040022258,2,
0.060156457,2,
-0.069656864,2,
0.0705007,9,
-0.03455721,9,
-0.012832181,9,
0.03883937,9,
-0.027696839,9,
0.034179524,2,
-0.047002167,2,
0.03273783,2,
-0.014273215,2,
-0.008373753,2,
0.059352085,2,
-0.08556497,2,
0.061952982,2,
-0.046510365,2,
0.01358098,2,
0.055652484,2,
-0.07604895,2,
0.0599991,2,
