samples,frequencies,BPM
-3.288532E-7,44,
1.15756324E-4,44,
-3.4151404E-4,44,
9.2572176E-5,44,
1.6607087E-4,44,
-0.0143501675,44,
-0.12521267,3,
0.16093862,3,
-0.17055872,3,
0.14794464,3,
-0.048511766,3,
0.09738971,3,
-0.123329654,3,
0.080039255,3,
0.06419379,3,
-0.013576704,3,
-0.008789917,3,
-0.061590258,3,
0.16152908,3,
-0.099900015,3,
0.06456112,3,
-0.18515225,3,
0.24424371,3,
-0.23181897,3,
0.17810228,3,
-0.30345997,3,
0.32592723,3,
-0.28927046,3,
0.2514755,3,
-0.2851792,3,
0.29917058,3,
-0.2769789,3,
0.25512153,3,
-0.25019282,3,
0.25982544,3,
-0.27399045,3,
0.24653023,3,
-0.15074071,3,
0.1455501,3,
-0.1666314,3,
0.13507317,3,
0.023062145,3,
-0.034256473,3,
-0.024476215,3,
0.010611435,3,
0.123102084,3,
-0.14294443,3,
0.08729507,3,
-0.1432547,3,
0.2200245,3,
-0.2511008,3,
0.1943649,3,
-0.2332074,3,
0.26868424,3,
-0.28649938,3,
0.24537069,3,
-0.2721548,3,
0.30959228,3,
-0.3071073,3,
0.29332587,3,
-0.2897626,3,
0.27778164,3,
-0.23778273,3,
0.24329677,3,
-0.23134066,3,
0.20048355,3,
-0.13996568,3,
0.15719281,3,
-0.15602341,3,
0.11476582,3,
-0.027666584,3,
-7.695165E-4,3,
0.017501239,3,
-0.038157165,3,
0.10395099,3,
-0.16238393,3,
0.14647599,3,
-0.14918788,3,
0.19060381,3,
-0.2952365,3,
0.2810419,3,
-0.24103,3,
0.26048642,3,
-0.36621323,3,
0.33398512,3,
-0.24310045,3,
0.22429399,3,
-0.31188142,3,
0.32374892,3,
-0.2043484,3,
0.15014088,3,
-0.21004643,3,
0.26784715,3,
-0.12694144,3,
0.03272714,3,
-0.06368111,3,
0.15890072,3,
-0.047725312,3,
-0.11170337,3,
0.09020706,3,
0.03214244,3,
0.018730821,3,
-0.19760214,3,
0.21201281,3,
-0.08537703,3,
0.0814474,3,
-0.2624982,3,
0.3076586,3,
-0.18040328,3,
0.1130451,3,
-0.2773916,3,
0.35190484,3,
-0.2562794,3,
0.13267384,3,
-0.22468172,3,
0.33312765,3,
-0.29254404,3,
0.16356237,3,
-0.14709768,3,
0.27723953,3,
-0.255183,3,
0.10917153,3,
-0.01268025,3,
0.14682983,3,
-0.09167457,3,
-0.03754714,3,
0.12089235,3,
-0.02467994,3,
-0.043304212,3,
-0.110842764,3,
0.22865607,3,
-0.17713332,3,
0.089074165,3,
-0.17974244,3,
0.28865483,3,
-0.28172526,3,
0.18815024,3,
-0.22240144,3,
0.30753547,3,
-0.33405682,3,
0.22377227,3,
-0.1862169,3,
0.22972517,3,
-0.28382218,3,
0.19883221,3,
-0.10111463,3,
0.13348678,3,
-0.18541631,3,
0.14327295,3,
-0.010561614,3,
0.02420261,3,
-0.08006622,3,
0.05378361,3,
0.058417812,3,
-0.076971546,3,
0.043165434,3,
-0.054430466,3,
0.09197892,3,
-0.116157524,3,
0.13882537,3,
-0.15695687,3,
0.13658243,3,
-0.14501242,3,
0.19732064,3,
-0.20809239,3,
0.15627515,3,
-0.16065958,3,
0.21015018,3,
-0.22411263,3,
0.16466057,3,
-0.15401298,3,
0.18733895,3,
-0.19152164,3,
0.14233753,3,
-0.098623075,3,
0.121995986,3,
-0.13661285,3,
0.11289251,3,
-0.045387827,3,
0.030983234,3,
-0.046151094,3,
0.032010242,3,
0.036757074,3,
