samples,frequencies,BPM
-1.9731192E-6,16,
-2.811695E-4,16,
-1.742922E-4,16,
8.7031E-4,16,
0.0015809617,16,
0.06704001,16,
-0.0124643585,23,
-0.012507439,23,
-0.010084777,23,
-0.007464639,23,
-0.0056776507,23,
-0.0043204734,0,
-0.00331632,0,
-0.0025326628,0,
-0.0019538812,0,
-0.0014832923,0,
-0.0011430937,0,
-8.5271633E-4,0,
-6.670787E-4,0,
-4.950885E-4,0,
-3.8410054E-4,0,
-2.694952E-4,0,
-2.119459E-4,0,
-1.5045035E-4,0,
-1.09179266E-4,0,
-8.319986E-5,0,
-4.8670274E-5,0,
-3.2720895E-5,0,
-3.3049746E-5,0,
-2.3348577E-5,0,
-1.6771513E-5,0,
-4.932798E-6,0,
-3.288532E-7,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,0,
0.0,3,
0.0,3,
-3.288532E-7,3,
-4.932798E-7,3,
0.002223212,3,
0.0014712892,3,
-0.014423008,2,
0.009536578,2,
0.012721357,2,
-0.030170636,2,
0.029807582,2,
-0.006636422,2,
-0.012322458,2,
0.028387925,2,
-0.032380037,2,
0.008950562,2,
0.014600918,2,
-0.045585137,2,
0.049932577,2,
-0.01635124,2,
-0.03535435,2,
0.082204424,2,
-0.07425242,2,
0.003088096,2,
0.14743805,2,
-0.19473289,2,
0.08326694,2,
0.042293645,2,
-0.12207837,2,
0.10462218,2,
-0.04902231,2,
-0.09230893,2,
0.1603332,2,
-0.10681267,2,
-0.0010268441,2,
0.24657676,2,
-0.2631577,2,
0.08282102,2,
0.10493738,2,
-0.24927911,2,
0.21655427,2,
-0.15049951,2,
-0.037919242,2,
0.15721403,2,
-0.1476125,2,
0.034940653,2,
0.21166751,2,
-0.22848342,2,
0.11223727,2,
