samples,frequencies,BPM
0.0,0,
0.0,0,
-1.9937441E-7,0,
2.458951E-6,9,
1.0234553E-5,9,
-1.9007028E-4,9,
0.0014219383,9,
-7.35027E-4,5,
-0.0020705033,5,
-1.2201714E-4,5,
0.0038012061,5,
-0.0014491198,5,
1.3810002E-4,10,
-0.0052376324,10,
0.008038777,8,
0.0031176843,8,
-0.014814583,10,
0.022279426,10,
-0.010107352,5,
-0.01301782,5,
0.0012656288,5,
0.011649779,5,
-0.010566977,5,
-0.0024362889,5,
0.014439825,5,
0.0043742084,5,
-0.016929016,5,
0.0039177737,5,
0.0041299746,5,
0.005739989,5,
-0.006122323,5,
9.0675487E-4,5,
0.0031345645,10,
-0.0024612108,10,
-0.013544036,10,
0.015652154,10,
-0.002226082,10,
-0.010941601,10,
0.006413011,10,
0.010383021,10,
-0.016068913,10,
0.0032691422,9,
0.026878396,9,
-0.029002996,10,
0.0031564957,10,
0.008747087,10,
-0.007003957,10,
0.0010154804,10,
5.9473387E-4,10,
-4.8115693E-5,10,
-0.0034177427,10,
0.010174542,10,
-0.023750145,10,
0.032128256,10,
-6.202538E-4,10,
-0.036096405,10,
0.040442236,10,
-0.015099488,10,
-0.028018352,10,
0.022894097,10,
0.02969343,10,
-0.052621156,10,
0.035045438,10,
0.004496491,10,
-0.022902736,10,
-0.012540518,10,
0.042823963,10,
-0.040687997,10,
0.012664462,10,
0.021264877,10,
-0.0437145,8,
0.054146834,8,
-0.02713313,10,
0.0129705025,10,
0.014163226,8,
-0.03703127,8,
0.0071306922,8,
-0.028962523,8,
0.04540819,8,
-0.05289669,8,
0.06494143,8,
-0.004634724,8,
-0.02763263,8,
0.03482546,10,
-0.028250491,10,
-0.0049565146,8,
-0.025790278,8,
0.045093045,8,
-0.032587416,8,
0.036760587,8,
1.4687249E-5,7,
0.0010231895,7,
-0.0025268048,7,
-0.03186043,7,
0.01098666,8,
-0.029503824,8,
0.03715934,8,
-0.02327158,8,
0.028960861,8,
0.014273413,8,
-0.016458623,8,
0.020269467,7,
-0.021416467,7,
0.007199078,7,
-0.045104474,7,
0.030753238,8,
-0.0167315,8,
0.0060712835,8,
0.029949693,8,
-0.0030868477,8,
